paper_id,paper_title,author_name
376f494126d1ea4f571ea0263c43ac2b6331800a,SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs,Yonatan Bisk
3b0c02955e88f5862e61b560c7f70ba8cf235b1d,HomeRobot: Open-Vocabulary Mobile Manipulation,Yonatan Bisk
5ce2f1dff23a5620f77f9b11f1e534422ab8ff3f,"Plan, Eliminate, and Track - Language Models are Good Teachers for Embodied Agents",Yonatan Bisk
69b8cd15966c4c9c3e44e71769e557f1c87fb3f9,MOSAIC: Learning Unified Multi-Sensory Object Property Representations for Robot Perception,Yonatan Bisk
8035a247980cb18abf2bb7b9d96e7d4c63622ef2,Reasoning about the Unseen for Efficient Outdoor Object Navigation,Yonatan Bisk
b777aa86b5a1d49ce8eababc5c2ee56d3562801e,The Framework Tax: Disparities Between Inference Efficiency in Research and Deployment,Yonatan Bisk
e41482f4ee984f17382f6cdd900df094d928be06,WebArena: A Realistic Web Environment for Building Autonomous Agents,Yonatan Bisk
e7b3b692b0816821aafc0d354749bc3802cbf6ac,Computational Language Acquisition with Theory of Mind,Yonatan Bisk
0a94fbb5e1c93513523f00e75d672ef4553861f9,Can Large Language Models Infer Causation from Correlation?,Mona Diab
4286d07449447f3bfffc1eeb2ee0de9b00dfadfd,ALERT: Adapt Language Models to Reasoning Tasks,Mona Diab
5e2f8088647e357bb6440d271ed1fcc4d5ed7e7c,Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues,Mona Diab
99bfe503743c5ec8e16e50ab8438159cdb533a89,"The Troubling Emergence of Hallucination in Large Language Models - An Extensive Definition, Quantification, and Prescriptive Remediations",Mona Diab
c218cd1772999517b137bbbc9872c4f67e540b7f,OPT-R: Exploring the Role of Explanations in Finetuning and Prompting for Reasoning Skills of Large Language Models,Mona Diab
f727f928e7e179307d8d4a1da2387393f2bd7915,"Methods for Measuring, Updating, and Visualizing Factual Beliefs in Language Models",Mona Diab
13922d438c437cea443b6c4747c54a29a8bdd742,Score: A Rule Engine for the Scone Knowledge Base System,Scott Fahlman
72cce47fd053bf916314d89a8174726c58c05e02,Towards Open-Domain Twitter User Profile Inference,Alexander Hauptmann
444737639aeea4e1e616509e368afb0bae8f89d6,Language-Agnostic Transformers and Assessing ChatGPT-Based Query Rewriting for Multilingual Document-Grounded QA,Teruko Mitamura
ff77105b2c345f54e1a87f4fbb3a701201f0c1a8,Hierarchical Event Grounding,Teruko Mitamura
03c7f61b0c6bc4c480ed6da4e9d7dda104ddfec3,Cross-Modal Fine-Tuning: Align then Refine,Graham Neubig
11a571eaab42a6ffb1d938635a093315e392756d,ChatGPT MT: Competitive for High- (but Not Low-) Resource Languages,Graham Neubig
17605c43ca3eb982c99642052ddc21a93d116594,GlobalBench: A Benchmark for Global Progress in Natural Language Processing,Graham Neubig
1786a2f9140ed7211b21302977de64e948b92308,Learning Performance-Improving Code Edits,Graham Neubig
31366ff634fc905affd78dbd8ddc9a872c006a87,CodeBERTScore: Evaluating Code Generation with Pretrained Models of Code,Graham Neubig
405f1a5602867c66e015491c26d2be5504eed458,Neural Machine Translation for the Indigenous Languages of the Americas: An Introduction,Graham Neubig
43c0f77f116f986b53eb04f5c9b33f10132ded55,User-Centric Evaluation of OCR Systems for Kwak’wala,Graham Neubig
