Question,Answer,Document,Notes
What is the author ID of Alexander Hauptmann?,145788702,data/paper_jsons/A. Hauptmann_145788702.json,
What are the papers of Alexander Hauptmann?,"Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation, SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs, STMT: A Spatial-Temporal Mesh Transformer for MoCap-Based Action Recognition, DocumentNet: Bridging the Data Gap in Document Pre-training",data/paper_jsons/A. Hauptmann_145788702.json,
What is the H-index of Alexander Hauptmann?,27,data/paper_jsons/A. Hauptmann_145788702.json,
What is the author citation count of Alexander Hauptmann?,2295,data/paper_jsons/A. Hauptmann_145788702.json,
What journals has Alexander Hauptmann published in?,"ArXiv, 2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)",data/paper_jsons/A. Hauptmann_145788702.json,
What are the journals and how many papers has Alexander Hauptmann published in each?,"{'ArXiv': 1, '2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)': 1}",data/paper_jsons/A. Hauptmann_145788702.json,
What are the fields of study of Alexander Hauptmann?,Computer Science,data/paper_jsons/A. Hauptmann_145788702.json,
How many papers has Alexander Hauptmann published in open access journals?,4,data/paper_jsons/A. Hauptmann_145788702.json,
What venues has Alexander Hauptmann published in?,"Annual Meeting of the Association for Computational Linguistics, arXiv.org, Computer Vision and Pattern Recognition, Conference on Empirical Methods in Natural Language Processing",data/paper_jsons/A. Hauptmann_145788702.json,
What is the most cited paper from Alexander Hauptmann?,SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs,data/paper_jsons/A. Hauptmann_145788702.json,
What is the url of the most cited paper from Alexander Hauptmann?,http://arxiv.org/pdf/2306.17842,data/paper_jsons/A. Hauptmann_145788702.json,
Who are the authors of the most cited paper from Alexander Hauptmann?,"Lijun Yu, Yong Cheng, Zhiruo Wang, Vivek Kumar, Wolfgang Macherey, Yanping Huang, David A. Ross, Irfan Essa, Yonatan Bisk, Ming Yang, K. Murphy, A. Hauptmann, Lu Jiang",data/paper_jsons/A. Hauptmann_145788702.json,
TLDR of the most cited paper from Alexander Hauptmann?,"This method marks the first successful attempt to enable a frozen LLM to generate image content while surpassing state-of-the-art performance in image understanding tasks, under the same setting, by over 25%.",data/paper_jsons/A. Hauptmann_145788702.json,
Abstract of the most cited paper from Alexander Hauptmann?,"In this work, we introduce Semantic Pyramid AutoEncoder (SPAE) for enabling frozen LLMs to perform both understanding and generation tasks involving non-linguistic modalities such as images or videos. SPAE converts between raw pixels and interpretable lexical tokens (or words) extracted from the LLM's vocabulary. The resulting tokens capture both the semantic meaning and the fine-grained details needed for visual reconstruction, effectively translating the visual content into a language comprehensible to the LLM, and empowering it to perform a wide array of multimodal tasks. Our approach is validated through in-context learning experiments with frozen PaLM 2 and GPT 3.5 on a diverse set of image understanding and generation tasks. Our method marks the first successful attempt to enable a frozen LLM to generate image content while surpassing state-of-the-art performance in image understanding tasks, under the same setting, by over 25%.",data/paper_jsons/A. Hauptmann_145788702.json,
"What journal was the paper ""DocumentNet: Bridging the Data Gap in Document Pre-training"" published in?",,A. Hauptmann_145788702.json,
"What venue was the paper ""DocumentNet: Bridging the Data Gap in Document Pre-training"" published in?",Conference on Empirical Methods in Natural Language Processing,A. Hauptmann_145788702.json,
"How many citations does the paper ""DocumentNet: Bridging the Data Gap in Document Pre-training"" have?",1,A. Hauptmann_145788702.json,
"Who are the authors of the paper ""DocumentNet: Bridging the Data Gap in Document Pre-training""?","Lijun Yu, Jin Miao, Xiaoyu Sun, Jiayi Chen, A. Hauptmann, H. Dai, Wei Wei",A. Hauptmann_145788702.json,
"Who is the first author of the paper ""DocumentNet: Bridging the Data Gap in Document Pre-training""?",Lijun Yu,A. Hauptmann_145788702.json,
"What is the paper ID of the paper ""DocumentNet: Bridging the Data Gap in Document Pre-training""?",8ccda6de0223bcd897d5dc0efc8f33222a899d0d,A. Hauptmann_145788702.json,
What paper has the paper ID 8ccda6de0223bcd897d5dc0efc8f33222a899d0d?,DocumentNet: Bridging the Data Gap in Document Pre-training,A. Hauptmann_145788702.json,
What is the TLDR of the paper 'DocumentNet: Bridging the Data Gap in Document Pre-training'?,"This paper proposes a method to collect massive-scale and weakly labeled data from the web to benefit the training of VDER models, and provides a large data source to extend their multi-modal capabilities for VDER.",A. Hauptmann_145788702.json,
What is the abstract of the paper 'DocumentNet: Bridging the Data Gap in Document Pre-training'?,"Document understanding tasks, in particular, Visually-rich Document Entity Retrieval (VDER), have gained significant attention in recent years thanks to their broad applications in enterprise AI. However, publicly available data have been scarce for these tasks due to strict privacy constraints and high annotation costs. To make things worse, the non-overlapping entity spaces from different datasets hinder the knowledge transfer between document types. In this paper, we propose a method to collect massive-scale and weakly labeled data from the web to benefit the training of VDER models. The collected dataset, named DocumentNet, does not depend on specific document types or entity sets, making it universally applicable to all VDER tasks. The current DocumentNet consists of 30M documents spanning nearly 400 document types organized in a four-level ontology. Experiments on a set of broadly adopted VDER tasks show significant improvements when DocumentNet is incorporated into the pre-training for both classic and few-shot learning settings. With the recent emergence of large language models (LLMs), DocumentNet provides a large data source to extend their multi-modal capabilities for VDER.",A. Hauptmann_145788702.json,
"What journal was the paper ""Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"" published in?",,A. Hauptmann_145788702.json,
"What venue was the paper ""Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"" published in?",Annual Meeting of the Association for Computational Linguistics,A. Hauptmann_145788702.json,
"How many citations does the paper ""Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"" have?",2,A. Hauptmann_145788702.json,
"Who are the authors of the paper ""Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation""?","Haoyang Wen, A. Hauptmann",A. Hauptmann_145788702.json,
"Who is the first author of the paper ""Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation""?",Haoyang Wen,A. Hauptmann_145788702.json,
"What is the paper ID of the paper ""Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation""?",2107b867cb8f8afa30a9a940288d7c8b657f8aa5,A. Hauptmann_145788702.json,
What paper has the paper ID 2107b867cb8f8afa30a9a940288d7c8b657f8aa5?,Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation,A. Hauptmann_145788702.json,
What is the TLDR of the paper 'Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation'?,"This paper utilizes a conditional generation framework and formulates the zero-shot and few-shot stance detection problem as denoising from partially-filled templates, which can better utilize the semantics among input, label, and target texts.",A. Hauptmann_145788702.json,
