Question,Answer,Notes
What is the author ID of Shinji Watanabe?,1746678,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
What is the H-index of Shinji Watanabe?,67,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
What is the semantic scholar author name of Shinji Watanabe?,Shinji Watanabe,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
What is the semantic scholar author name of Shinji Watanabe?,https://www.semanticscholar.org/author/1746678,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
What is the affiliation of Shinji Watanabe?,"LTI (CMU), No other affiliations",##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
What is the paper ID of the paper Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval?,00542e510058b11d1faf612de9b45fa0d4d3f4e5,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
What are the external IDs of the paper Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval?,"{'PubMedCentral': '10114312', 'DOI': '10.1016/j.isci.2023.106694', 'CorpusId': 258239706, 'PubMed': '37124417'}",##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
What is the URL of the paper Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval?,https://www.semanticscholar.org/paper/00542e510058b11d1faf612de9b45fa0d4d3f4e5,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
What is the abstract of the paper 'Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval'?,None,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
In which venue was the paper 'Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval' published?,iScience,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
In what year was the paper 'Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval' published?,2023,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
How many references are in the paper 'Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval'?,39,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
How many citations does the paper 'Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval' have?,1,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
What is the citation count of 'Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval' have?,1,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
How many influential citations does the paper 'Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval' have?,0,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
Is the paper 'Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval' open access?,Yes,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
What is the open access PDF URL of the paper titled 'Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval'?,http://www.cell.com/article/S258900422300771X/pdf,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
What are the fields of study for the paper 'Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval'?,Medicine,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
What is the journal name for the paper 'Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval'?,"iScience, volume: 26; iScience",##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
Who are the authors of the paper 'Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval'?,"Sho Miyamoto, Y. Kuroda, T. Kanno, A. Ueno, N. Shiwa-Sudo, N. Iwata-Yoshikawa, Yusuke Sakai, N. Nagata, T. Arashiro, A. Ainai, Saya Moriyama, N. Kishida, Shinji Watanabe, K. Nojima, Y. Seki, T. Mizukami, H. Hasegawa, H. Ebihara, S. Fukushi, Yoshimasa Takahashi, Maeda Ken, Tadaki Suzuki",##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
Who is the first author of the paper 'Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval'?,Sho Miyamoto,##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
What is the TLDR summary of the paper 'Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval'?,"The results highlight the importance of vaccine dosage intervals of 4 months or longer, regardless of the antigenicity of the exposed antigen, to maximize the breadth of serum cross-neutralization covering SARS-CoV-2 Omicron lineages.",##Title: Saturation time of exposure interval for cross-neutralization response to SARS-CoV-2: Implications for vaccine dose interval
