Question,Answer,Notes
What is the author ID of Daphne Ippolito?,7975935,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
What is the H-index of Daphne Ippolito?,25,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
What is the semantic scholar author name of Daphne Ippolito?,Daphne Ippolito,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
What is the semantic scholar author name of Daphne Ippolito?,https://www.semanticscholar.org/author/7975935,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
What is the affiliation of Daphne Ippolito?,"LTI (CMU), No other affiliations",##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
What is the paper ID of the paper Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System?,03fb535de5cfcf435705a079334ac60f501226ab,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
What are the external IDs of the paper Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System?,"{'DBLP': 'journals/corr/abs-2309-04858', 'ACL': '2023.inlg-main.28', 'ArXiv': '2309.04858', 'DOI': '10.48550/arXiv.2309.04858', 'CorpusId': 261681722}",##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
What is the URL of the paper Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System?,https://www.semanticscholar.org/paper/03fb535de5cfcf435705a079334ac60f501226ab,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
What is the abstract of the paper 'Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System'?,"Neural language models are increasingly deployed into APIs and websites that allow a user to pass in a prompt and receive generated text. Many of these systems do not reveal generation parameters. In this paper, we present methods to reverse-engineer the decoding method used to generate text (i.e., top-_k_ or nucleus sampling). Our ability to discover which decoding strategy was used has implications for detecting generated text. Additionally, the process of discovering the decoding strategy can reveal biases caused by selecting decoding settings which severely truncate a model’s predicted distributions. We perform our attack on several families of open-source language models, as well as on production systems (e.g., ChatGPT).",##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
In which venue was the paper 'Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System' published?,International Conference on Natural Language Generation,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
In what year was the paper 'Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System' published?,2023,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
How many references are in the paper 'Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System'?,15,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
How many citations does the paper 'Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System' have?,3,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
What is the citation count of 'Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System' have?,3,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
How many influential citations does the paper 'Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System' have?,0,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
Is the paper 'Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System' open access?,Yes,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
What is the open access PDF URL of the paper titled 'Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System'?,https://arxiv.org/pdf/2309.04858,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
What are the fields of study for the paper 'Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System'?,Computer Science,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
What is the journal name for the paper 'Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System'?,"International Conference on Natural Language Generation, pages: 396-406; International Conference on Natural Language Generation",##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
Who are the authors of the paper 'Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System'?,"Daphne Ippolito, Nicholas Carlini, Katherine Lee, Milad Nasr, Yun William Yu",##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
Who is the first author of the paper 'Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System'?,Daphne Ippolito,##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
What is the TLDR summary of the paper 'Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System'?,"Methods to reverse-engineer the decoding method used to generate text (i.e., top-_k_ or nucleus sampling) are presented, which has implications for detecting generated text.",##Title: Reverse-Engineering Decoding Strategies Given Blackbox Access to a Language Generation System
