Question,Answer,Notes
What is the name of this paper?,Quantifying & Modeling Feature Interactions: An Information Decomposition Framework,"##Author: Louis-Philippe Morency, ##Title: Quantifying & Modeling Feature Interactions: An Information Decomposition Framework"
What is the author ID of Louis-Philippe Morency?,49933077,"##Author: Louis-Philippe Morency, ##Title: Quantifying & Modeling Feature Interactions: An Information Decomposition Framework"
What is the H-index of Louis-Philippe Morency?,79,"##Author: Louis-Philippe Morency, ##Title: Quantifying & Modeling Feature Interactions: An Information Decomposition Framework"
What is the semantic scholar author name of Louis-Philippe Morency?,Louis-Philippe Morency,"##Author: Louis-Philippe Morency, ##Title: Quantifying & Modeling Feature Interactions: An Information Decomposition Framework"
What is the semantic scholar author name of Louis-Philippe Morency?,https://www.semanticscholar.org/author/49933077,"##Author: Louis-Philippe Morency, ##Title: Quantifying & Modeling Feature Interactions: An Information Decomposition Framework"
What is the affiliation of Louis-Philippe Morency?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Louis-Philippe Morency, ##Title: Quantifying & Modeling Feature Interactions: An Information Decomposition Framework"
What is the paper ID of the paper Quantifying & Modeling Feature Interactions: An Information Decomposition Framework?,0a425c0d87c674b142104a07e17c5084b3ad28ca,"##Author: Louis-Philippe Morency, ##Title: Quantifying & Modeling Feature Interactions: An Information Decomposition Framework"
What are the external IDs of the paper Quantifying & Modeling Feature Interactions: An Information Decomposition Framework?,"{'DBLP': 'journals/corr/abs-2302-12247', 'DOI': '10.48550/arXiv.2302.12247', 'CorpusId': 257102902}","##Author: Louis-Philippe Morency, ##Title: Quantifying & Modeling Feature Interactions: An Information Decomposition Framework"
What is the URL of the paper Quantifying & Modeling Feature Interactions: An Information Decomposition Framework?,https://www.semanticscholar.org/paper/0a425c0d87c674b142104a07e17c5084b3ad28ca,"##Author: Louis-Philippe Morency, ##Title: Quantifying & Modeling Feature Interactions: An Information Decomposition Framework"
What is the abstract of the paper 'Quantifying & Modeling Feature Interactions: An Information Decomposition Framework'?,"The recent explosion of interest in multimodal applications has resulted in a wide selection of datasets and methods for representing and inte-grating information from different signals. Despite these empirical advances, there remain fundamental research questions: how can we quantify the nature of interactions that exist among input features? Subsequently, how can we capture these interactions using suitable data-driven methods? To answer this question, we propose an information-theoretic approach to quantify the degree of redundancy , uniqueness , and synergy across input features, which we term the PID statistics of a multimodal distribution. Using 2 newly proposed estimators that scale to high-dimensional distributions, we demonstrate their usefulness in quantifying the interactions within multimodal datasets, the nature of interactions captured by multimodal models, and principled approaches for model selection. We conduct extensive experiments on both synthetic datasets where the PID statistics are known and on large-scale multimodal benchmarks where PID estimation was previously impossible. Finally, to demonstrate the real-world applicability of our approach, we present three case studies in pathology, mood prediction, and robotic perception where our framework accurately recommends strong multimodal models for each application.","##Author: Louis-Philippe Morency, ##Title: Quantifying & Modeling Feature Interactions: An Information Decomposition Framework"
