Question,Answer,Notes
What is the name of this paper?,Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding,"##Author: Shinji Watanabe, ##Title: Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding"
What is the author ID of Shinji Watanabe?,1746678,"##Author: Shinji Watanabe, ##Title: Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding"
What is the H-index of Shinji Watanabe?,67,"##Author: Shinji Watanabe, ##Title: Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding"
What is the semantic scholar author name of Shinji Watanabe?,Shinji Watanabe,"##Author: Shinji Watanabe, ##Title: Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding"
What is the semantic scholar author name of Shinji Watanabe?,https://www.semanticscholar.org/author/1746678,"##Author: Shinji Watanabe, ##Title: Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding"
What is the affiliation of Shinji Watanabe?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Shinji Watanabe, ##Title: Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding"
What is the paper ID of the paper Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding?,1028bf42a4c792acefd3be9da45e58f2b1620fe3,"##Author: Shinji Watanabe, ##Title: Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding"
What are the external IDs of the paper Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding?,"{'ArXiv': '2302.14132', 'DBLP': 'conf/icassp/PengKWSW23', 'DOI': '10.1109/ICASSP49357.2023.10095780', 'CorpusId': 257232952}","##Author: Shinji Watanabe, ##Title: Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding"
What is the URL of the paper Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding?,https://www.semanticscholar.org/paper/1028bf42a4c792acefd3be9da45e58f2b1620fe3,"##Author: Shinji Watanabe, ##Title: Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding"
What is the abstract of the paper 'Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding'?,"Self-supervised speech representation learning (SSL) has shown to be effective in various downstream tasks, but SSL models are usually large and slow. Model compression techniques such as pruning aim to reduce the model size and computation without degradation in accuracy. Prior studies focus on the pruning of Transformers; however, speech models not only utilize a stack of Transformer blocks, but also combine a frontend network based on multiple convolutional layers for low-level feature representation learning. This frontend has a small size but a heavy computational cost. In this work, we propose three task-specific structured pruning methods to deal with such heterogeneous networks. Experiments on LibriSpeech and SLURP show that the proposed method is more accurate than the original wav2vec2-base with 10% to 30% less computation, and is able to reduce the computation by 40% to 50% without any degradation.","##Author: Shinji Watanabe, ##Title: Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding"
In which venue was the paper 'Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding' published?,"IEEE International Conference on Acoustics, Speech, and Signal Processing","##Author: Shinji Watanabe, ##Title: Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding"
In what year was the paper 'Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding' published?,2023,"##Author: Shinji Watanabe, ##Title: Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding"
How many references are in the paper 'Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding'?,44,"##Author: Shinji Watanabe, ##Title: Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding"
How many citations does the paper 'Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding' have?,10,"##Author: Shinji Watanabe, ##Title: Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding"
What is the citation count of 'Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding' have?,10,"##Author: Shinji Watanabe, ##Title: Structured Pruning of Self-Supervised Pre-Trained Models for Speech Recognition and Understanding"
