Question,Answer,Notes
What is the author ID of Shinji Watanabe?,1746678,"##Title: A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks"
What is the H-index of Shinji Watanabe?,67,"##Title: A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks"
What is the semantic scholar author name of Shinji Watanabe?,Shinji Watanabe,"##Title: A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks"
What is the semantic scholar author name of Shinji Watanabe?,https://www.semanticscholar.org/author/1746678,"##Title: A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks"
What is the affiliation of Shinji Watanabe?,"LTI (CMU), No other affiliations","##Title: A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks"
"What is the paper ID of the paper A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks?",14f5fd91d75bc10d9fff53dfe7ee73484fc4273b,"##Title: A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks"
"What are the external IDs of the paper A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks?","{'DBLP': 'journals/corr/abs-2305-11073', 'ArXiv': '2305.11073', 'DOI': '10.48550/arXiv.2305.11073', 'CorpusId': 258762753}","##Title: A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks"
"What is the URL of the paper A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks?",https://www.semanticscholar.org/paper/14f5fd91d75bc10d9fff53dfe7ee73484fc4273b,"##Title: A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks"
"What is the abstract of the paper 'A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks'?","Conformer, a convolution-augmented Transformer variant, has become the de facto encoder architecture for speech processing due to its superior performance in various tasks, including automatic speech recognition (ASR), speech translation (ST) and spoken language understanding (SLU). Recently, a new encoder called E-Branchformer has outperformed Conformer in the LibriSpeech ASR benchmark, making it promising for more general speech applications. This work compares E-Branchformer and Conformer through extensive experiments using different types of end-to-end sequence-to-sequence models. Results demonstrate that E-Branchformer achieves comparable or better performance than Conformer in almost all evaluation sets across 15 ASR, 2 ST, and 3 SLU benchmarks, while being more stable during training. We will release our training configurations and pre-trained models for reproducibility, which can benefit the speech community.","##Title: A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks"
"In which venue was the paper 'A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks' published?",Interspeech,"##Title: A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks"
"In what year was the paper 'A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks' published?",2023,"##Title: A Comparative Study on E-Branchformer vs Conformer in Speech Recognition, Translation, and Understanding Tasks"
