Question,Answer,Notes
What is the author ID of Lei Li?,143900005,##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
What is the H-index of Lei Li?,47,##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
What is the semantic scholar author name of Lei Li?,Lei Li,##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
What is the semantic scholar author name of Lei Li?,https://www.semanticscholar.org/author/143900005,##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
What are affiliation of Lei Li?,University of California Santa Barbara,##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
What is the paper ID of the paper A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults?,17b16a2b31797a8fd4bcd5fd952294357db39b25,##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
What are the external IDs of the paper A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults?,"{'DOI': '10.1109/TPEL.2023.3317263', 'CorpusId': 262187486}",##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
What is the URL of the paper A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults?,https://www.semanticscholar.org/paper/17b16a2b31797a8fd4bcd5fd952294357db39b25,##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
What is the abstract of the paper 'A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults'?,"Blocking all submodules (SMs) of the hybrid modular multilevel converter is a simple way to clear dc fault currents. However, each arm's reverse-biased voltage (RBV) is uncontrolled in this method. In this case, the dc fault current will concentrate into two of the six arms. Thus, the maximum arm current will increase to the fault current in the dc line, which will lead to arm overcurrent. Moreover, full-bridge submodules (FB-SMs) will be charged by the large arm currents and may suffer from severe overvoltage. The arm overcurrent and FB-SM overvoltage problems have not been solved properly. This letter proposes a method to control the RBV of each arm during the dc fault-clearing process to relieve the arm overcurrent and FB-SM overvoltage. Thus, the safety of the converter can be improved. In the meantime, the impact on the dc fault clearing time is well limited. Simulations and experiments validated the proposed method.",##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
In which venue was the paper 'A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults' published?,IEEE transactions on power electronics,##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
In what year was the paper 'A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults' published?,2023,##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
How many references are in the paper 'A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults'?,13,##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
How many citations does the paper 'A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults' have?,0,##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
What is the citation count of 'A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults' have?,0,##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
How many influential citations does the paper 'A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults' have?,0,##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
Is the paper 'A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults' open access?,Yes,##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
What is the open access PDF URL of the paper titled 'A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults'?,https://backend.orbit.dtu.dk/ws/files/336503094/BERAT_A_Reverse-Biased_Voltage_Controlling_Method_for_Mitigating_Arm_Overcurrent_and_Submodule_Overvoltage_in_Hybrid_MMCs_During_DC_Faults.pdf,##Title: A Reverse-Biased Voltage Controlling Method for Mitigating Arm Overcurrent and Submodule Overvoltage in Hybrid MMCs During DC Faults
