Question,Answer,Notes
What is the name of this paper?,Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
What is the author ID of Alexander Hauptmann?,145788702,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
What is the H-index of Alexander Hauptmann?,27,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
What is the semantic scholar author name of Alexander Hauptmann?,A. Hauptmann,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
What is the semantic scholar author name of Alexander Hauptmann?,https://www.semanticscholar.org/author/145788702,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
What is the affiliation of Alexander Hauptmann?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
What is the paper ID of the paper Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation?,2107b867cb8f8afa30a9a940288d7c8b657f8aa5,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
What are the external IDs of the paper Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation?,"{'ACL': '2023.acl-short.127', 'DBLP': 'conf/acl/WenH23', 'DOI': '10.18653/v1/2023.acl-short.127', 'CorpusId': 259370856}","##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
What is the URL of the paper Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation?,https://www.semanticscholar.org/paper/2107b867cb8f8afa30a9a940288d7c8b657f8aa5,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
What is the abstract of the paper 'Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation'?,"Zero-shot and few-shot stance detection identify the polarity of text with regard to a certain target when we have only limited or no training resources for the target. Previous work generally formulates the problem into a classification setting, ignoring the potential use of label text. In this paper, we instead utilize a conditional generation framework and formulate the problem as denoising from partially-filled templates, which can better utilize the semantics among input, label, and target texts. We further propose to jointly train an auxiliary task, target prediction, and to incorporate manually constructed incorrect samples with unlikelihood training to improve the representations for both target and label texts. We also verify the effectiveness of target-related Wikipedia knowledge with the generation framework. Experiments show that our proposed method significantly outperforms several strong baselines on VAST, and achieves new state-of-the-art performance.","##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
In which venue was the paper 'Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation' published?,Annual Meeting of the Association for Computational Linguistics,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
In what year was the paper 'Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation' published?,2023,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
How many references are in the paper 'Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation'?,31,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
How many citations does the paper 'Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation' have?,2,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
What is the citation count of 'Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation' have?,2,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
How many influential citations does the paper 'Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation' have?,0,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
Is the paper 'Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation' open access?,Yes,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
What is the open access PDF URL of the paper titled 'Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation'?,https://aclanthology.org/2023.acl-short.127.pdf,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
What are the fields of study for the paper titled 'Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation'?,Computer Science,"##Author: Alexander Hauptmann, ##Title: Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation"
