Question,Answer,Notes
What is the author ID of Malihe Alikhani?,2715920,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
What is the H-index of Malihe Alikhani?,12,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
What is the semantic scholar author name of Malihe Alikhani?,Malihe Alikhani,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
What is the semantic scholar url of Malihe Alikhani?,https://www.semanticscholar.org/author/2715920,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
What are affiliation of Malihe Alikhani?,Rutgers University,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
What is the paper ID of the paper Learning to Generate Equitable Text in Dialogue from Biased Training Data?,2386c6a7c40b5129960f2eb3c6be27db65b04c1f,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
What are the external IDs of the paper Learning to Generate Equitable Text in Dialogue from Biased Training Data?,"{'ACL': '2023.acl-long.163', 'ArXiv': '2307.04303', 'DBLP': 'journals/corr/abs-2307-04303', 'DOI': '10.48550/arXiv.2307.04303', 'CorpusId': 259370533}",##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
What is the URL of the paper Learning to Generate Equitable Text in Dialogue from Biased Training Data?,https://www.semanticscholar.org/paper/2386c6a7c40b5129960f2eb3c6be27db65b04c1f,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
What is the abstract of the paper 'Learning to Generate Equitable Text in Dialogue from Biased Training Data'?,"The ingrained principles of fairness in a dialogue system’s decision-making process and generated responses are crucial for user engagement, satisfaction, and task achievement. Absence of equitable and inclusive principles can hinder the formation of common ground, which in turn negatively impacts the overall performance of the system. For example, misusing pronouns in a user interaction may cause ambiguity about the intended subject. Yet, there is no comprehensive study of equitable text generation in dialogue. Aptly, in this work, we use theories of computational learning to study this problem. We provide formal definitions of equity in text generation, and further, prove formal connections between learning human-likeness and learning equity: algorithms for improving equity ultimately reduce to algorithms for improving human-likeness (on augmented data). With this insight, we also formulate reasonable conditions under which text generation algorithms can learn to generate equitable text without any modifications to the biased training data on which they learn. To exemplify our theory in practice, we look at a group of algorithms for the GuessWhat?! visual dialogue game and, using this example, test our theory empirically. Our theory accurately predicts relative-performance of multiple algorithms in generating equitable text as measured by both human and automated evaluation.",##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
In which venue was the paper 'Learning to Generate Equitable Text in Dialogue from Biased Training Data' published?,Annual Meeting of the Association for Computational Linguistics,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
In what year was the paper 'Learning to Generate Equitable Text in Dialogue from Biased Training Data' published?,2023,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
How many references are in the paper 'Learning to Generate Equitable Text in Dialogue from Biased Training Data'?,40,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
How many citations does the paper 'Learning to Generate Equitable Text in Dialogue from Biased Training Data' have?,3,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
What is the citation count of 'Learning to Generate Equitable Text in Dialogue from Biased Training Data' have?,3,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
How many influential citations does the paper 'Learning to Generate Equitable Text in Dialogue from Biased Training Data' have?,0,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
Is the paper 'Learning to Generate Equitable Text in Dialogue from Biased Training Data' open access?,Yes,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
What is the open access PDF URL of the paper titled 'Learning to Generate Equitable Text in Dialogue from Biased Training Data'?,https://arxiv.org/pdf/2307.04303,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
What are the fields of study for the paper 'Learning to Generate Equitable Text in Dialogue from Biased Training Data'?,Computer Science,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
What is the journal name for the paper 'Learning to Generate Equitable Text in Dialogue from Biased Training Data'?,"Annual Meeting of the Association for Computational Linguistics, pages: 2898-2917; Annual Meeting of the Association for Computational Linguistics",##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
Who are the authors of the paper 'Learning to Generate Equitable Text in Dialogue from Biased Training Data'?,"Anthony Sicilia, Malihe Alikhani",##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
Who is the first author of the paper 'Learning to Generate Equitable Text in Dialogue from Biased Training Data'?,Anthony Sicilia,##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
What is the TLDR summary of the paper 'Learning to Generate Equitable Text in Dialogue from Biased Training Data'?,"This work provides formal definitions of equity in text generation, and proves formal connections between learning human-likeness and learning equity: algorithms for improving equity ultimately reduce to algorithms forimproving human- likeness (on augmented data).",##Title: Learning to Generate Equitable Text in Dialogue from Biased Training Data
