Question,Answer,Notes
What is the author ID of Shinji Watanabe?,1746678,##Title: Speech Summarization of Long Spoken Document: Improving Memory Efficiency of Speech/Text Encoders
What is the H-index of Shinji Watanabe?,67,##Title: Speech Summarization of Long Spoken Document: Improving Memory Efficiency of Speech/Text Encoders
What is the semantic scholar author name of Shinji Watanabe?,Shinji Watanabe,##Title: Speech Summarization of Long Spoken Document: Improving Memory Efficiency of Speech/Text Encoders
What is the semantic scholar author name of Shinji Watanabe?,https://www.semanticscholar.org/author/1746678,##Title: Speech Summarization of Long Spoken Document: Improving Memory Efficiency of Speech/Text Encoders
What is the affiliation of Shinji Watanabe?,"LTI (CMU), No other affiliations",##Title: Speech Summarization of Long Spoken Document: Improving Memory Efficiency of Speech/Text Encoders
What is the paper ID of the paper Speech Summarization of Long Spoken Document: Improving Memory Efficiency of Speech/Text Encoders?,2567a34501c1b258c102a07e737b87e556af0809,##Title: Speech Summarization of Long Spoken Document: Improving Memory Efficiency of Speech/Text Encoders
What are the external IDs of the paper Speech Summarization of Long Spoken Document: Improving Memory Efficiency of Speech/Text Encoders?,"{'DBLP': 'conf/icassp/KanoODSMW23', 'DOI': '10.1109/ICASSP49357.2023.10095019', 'CorpusId': 258529997}",##Title: Speech Summarization of Long Spoken Document: Improving Memory Efficiency of Speech/Text Encoders
What is the URL of the paper Speech Summarization of Long Spoken Document: Improving Memory Efficiency of Speech/Text Encoders?,https://www.semanticscholar.org/paper/2567a34501c1b258c102a07e737b87e556af0809,##Title: Speech Summarization of Long Spoken Document: Improving Memory Efficiency of Speech/Text Encoders
What is the abstract of the paper 'Speech Summarization of Long Spoken Document: Improving Memory Efficiency of Speech/Text Encoders'?,"Speech summarization requires processing several minute-long speech sequences to allow exploiting the whole context of a spoken document. A conventional approach is a cascade of automatic speech recognition (ASR) and text summarization (TS). However, the cascade systems are sensitive to ASR errors. Moreover, the cascade system cannot be optimized for input speech and utilize para-linguistic information. Recently, there has been an increased interest in end-to-end (E2E) approaches optimized to output summaries directly from speech. Such systems can thus mitigate the ASR errors of cascade approaches. However, E2E speech summarization requires massive computational resources because it needs to encode long speech sequences. We propose a speech summarization system that enables E2E summarization from 100 seconds, which is the limit of the conventional method, to up to 10 minutes (i.e., the duration of typical instructional videos on YouTube). However, the modeling capability of this model for minute-long speech sequences is weaker than the conventional approach. We thus exploit auxiliary text information from ASR transcriptions to improve the modeling capabilities. The resultant system consists of a dual speech/text encoder decoder-based summarization system. We perform experiments on the How2 dataset showing the proposed system improved METEOR scores by up to 2.7 points by fully exploiting the long spoken documents.",##Title: Speech Summarization of Long Spoken Document: Improving Memory Efficiency of Speech/Text Encoders
In which venue was the paper 'Speech Summarization of Long Spoken Document: Improving Memory Efficiency of Speech/Text Encoders' published?,"IEEE International Conference on Acoustics, Speech, and Signal Processing",##Title: Speech Summarization of Long Spoken Document: Improving Memory Efficiency of Speech/Text Encoders
