Question,Answer,Notes
What is the author ID of Shinji Watanabe?,1746678,##Title: UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures
What is the H-index of Shinji Watanabe?,67,##Title: UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures
What is the semantic scholar author name of Shinji Watanabe?,Shinji Watanabe,##Title: UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures
What is the semantic scholar url of Shinji Watanabe?,https://www.semanticscholar.org/author/1746678,##Title: UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures
What is the affiliation of Shinji Watanabe?,"LTI (CMU), No other affiliations",##Title: UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures
What is the paper ID of the paper UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures?,25c399a231364f4a77d1dc4b59927585e63f5f11,##Title: UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures
What are the external IDs of the paper UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures?,"{'ArXiv': '2305.20054', 'DBLP': 'journals/corr/abs-2305-20054', 'DOI': '10.48550/arXiv.2305.20054', 'CorpusId': 258987929}",##Title: UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures
What is the URL of the paper UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures?,https://www.semanticscholar.org/paper/25c399a231364f4a77d1dc4b59927585e63f5f11,##Title: UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures
What is the abstract of the paper 'UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures'?,"In reverberant conditions with multiple concurrent speakers, each microphone acquires a mixture signal of multiple speakers at a different location. In over-determined conditions where the microphones out-number speakers, we can narrow down the solutions to speaker images and realize unsupervised speech separation by leveraging each mixture signal as a constraint (i.e., the estimated speaker images at a microphone should add up to the mixture). Equipped with this insight, we propose UNSSOR, an algorithm for $\textbf{u}$nsupervised $\textbf{n}$eural $\textbf{s}$peech $\textbf{s}$eparation by leveraging $\textbf{o}$ver-determined training mixtu$\textbf{r}$es. At each training step, we feed an input mixture to a deep neural network (DNN) to produce an intermediate estimate for each speaker, linearly filter the estimates, and optimize a loss so that, at each microphone, the filtered estimates of all the speakers can add up to the mixture to satisfy the above constraint. We show that this loss can promote unsupervised separation of speakers. The linear filters are computed in each sub-band based on the mixture and DNN estimates through the forward convolutive prediction (FCP) algorithm. To address the frequency permutation problem incurred by using sub-band FCP, a loss term based on minimizing intra-source magnitude scattering is proposed. Although UNSSOR requires over-determined training mixtures, we can train DNNs to achieve under-determined separation (e.g., unsupervised monaural speech separation). Evaluation results on two-speaker separation in reverberant conditions show the effectiveness and potential of UNSSOR.",##Title: UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures
In which venue was the paper 'UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures' published?,arXiv.org,##Title: UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures
