Question,Answer,Notes
What is the author ID of Bhiksha Raj?,1681921,"##Title: Prolonged school closure during the pandemic time in successive waves of COVID-19- vulnerability of children to sexual abuses – A case study in Tamil Nadu, India"
What is the H-index of Bhiksha Raj?,54,"##Title: Prolonged school closure during the pandemic time in successive waves of COVID-19- vulnerability of children to sexual abuses – A case study in Tamil Nadu, India"
What is the semantic scholar author name of Bhiksha Raj?,B. Raj,"##Title: Prolonged school closure during the pandemic time in successive waves of COVID-19- vulnerability of children to sexual abuses – A case study in Tamil Nadu, India"
What is the semantic scholar author name of Bhiksha Raj?,https://www.semanticscholar.org/author/1681921,"##Title: Prolonged school closure during the pandemic time in successive waves of COVID-19- vulnerability of children to sexual abuses – A case study in Tamil Nadu, India"
What is the affiliation of Bhiksha Raj?,"LTI (CMU), No other affiliations","##Title: Prolonged school closure during the pandemic time in successive waves of COVID-19- vulnerability of children to sexual abuses – A case study in Tamil Nadu, India"
"What is the paper ID of the paper Prolonged school closure during the pandemic time in successive waves of COVID-19- vulnerability of children to sexual abuses – A case study in Tamil Nadu, India?",35a8802facb4441787017ac5c630a8fa0f2413bd,"##Title: Prolonged school closure during the pandemic time in successive waves of COVID-19- vulnerability of children to sexual abuses – A case study in Tamil Nadu, India"
"What are the external IDs of the paper Prolonged school closure during the pandemic time in successive waves of COVID-19- vulnerability of children to sexual abuses – A case study in Tamil Nadu, India?","{'PubMedCentral': '10339019', 'DOI': '10.1016/j.heliyon.2023.e17865', 'CorpusId': 259764473, 'PubMed': '37456023'}","##Title: Prolonged school closure during the pandemic time in successive waves of COVID-19- vulnerability of children to sexual abuses – A case study in Tamil Nadu, India"
"What is the URL of the paper Prolonged school closure during the pandemic time in successive waves of COVID-19- vulnerability of children to sexual abuses – A case study in Tamil Nadu, India?",https://www.semanticscholar.org/paper/35a8802facb4441787017ac5c630a8fa0f2413bd,"##Title: Prolonged school closure during the pandemic time in successive waves of COVID-19- vulnerability of children to sexual abuses – A case study in Tamil Nadu, India"
"What is the abstract of the paper 'Prolonged school closure during the pandemic time in successive waves of COVID-19- vulnerability of children to sexual abuses – A case study in Tamil Nadu, India'?",None,"##Title: Prolonged school closure during the pandemic time in successive waves of COVID-19- vulnerability of children to sexual abuses – A case study in Tamil Nadu, India"
"In which venue was the paper 'Prolonged school closure during the pandemic time in successive waves of COVID-19- vulnerability of children to sexual abuses – A case study in Tamil Nadu, India' published?",Heliyon,"##Title: Prolonged school closure during the pandemic time in successive waves of COVID-19- vulnerability of children to sexual abuses – A case study in Tamil Nadu, India"
