Question,Answer,Notes
What is the name of this paper?,SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs,"##Author: Yonatan Bisk, ##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"
What is the author ID of Yonatan Bisk?,3312309,"##Author: Yonatan Bisk, ##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"
What is the H-index of Yonatan Bisk?,33,"##Author: Yonatan Bisk, ##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"
What is the semantic scholar author name of Yonatan Bisk?,Yonatan Bisk,"##Author: Yonatan Bisk, ##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"
What is the semantic scholar author name of Yonatan Bisk?,https://www.semanticscholar.org/author/3312309,"##Author: Yonatan Bisk, ##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"
What is the affiliation of Yonatan Bisk?,Carnegie Mellon University,"##Author: Yonatan Bisk, ##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"
What is the paper ID of the paper SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs?,376f494126d1ea4f571ea0263c43ac2b6331800a,"##Author: Yonatan Bisk, ##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"
What are the external IDs of the paper SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs?,"{'ArXiv': '2306.17842', 'DBLP': 'journals/corr/abs-2306-17842', 'DOI': '10.48550/arXiv.2306.17842', 'CorpusId': 259308960}","##Author: Yonatan Bisk, ##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"
What is the URL of the paper SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs?,https://www.semanticscholar.org/paper/376f494126d1ea4f571ea0263c43ac2b6331800a,"##Author: Yonatan Bisk, ##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"
What is the abstract of the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs'?,"In this work, we introduce Semantic Pyramid AutoEncoder (SPAE) for enabling frozen LLMs to perform both understanding and generation tasks involving non-linguistic modalities such as images or videos. SPAE converts between raw pixels and interpretable lexical tokens (or words) extracted from the LLM's vocabulary. The resulting tokens capture both the semantic meaning and the fine-grained details needed for visual reconstruction, effectively translating the visual content into a language comprehensible to the LLM, and empowering it to perform a wide array of multimodal tasks. Our approach is validated through in-context learning experiments with frozen PaLM 2 and GPT 3.5 on a diverse set of image understanding and generation tasks. Our method marks the first successful attempt to enable a frozen LLM to generate image content while surpassing state-of-the-art performance in image understanding tasks, under the same setting, by over 25%.","##Author: Yonatan Bisk, ##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"
In which venue was the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs' published?,arXiv.org,"##Author: Yonatan Bisk, ##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"
In what year was the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs' published?,2023,"##Author: Yonatan Bisk, ##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"
How many references are in the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs'?,52,"##Author: Yonatan Bisk, ##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"
How many citations does the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs' have?,9,"##Author: Yonatan Bisk, ##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"
