Question,Answer,Notes
What is the author ID of Yonatan Bisk?,3312309,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
What is the H-index of Yonatan Bisk?,33,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
What is the semantic scholar author name of Yonatan Bisk?,Yonatan Bisk,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
What is the semantic scholar author name of Yonatan Bisk?,https://www.semanticscholar.org/author/3312309,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
What are affiliation of Yonatan Bisk?,Carnegie Mellon University,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
What is the paper ID of the paper SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs?,376f494126d1ea4f571ea0263c43ac2b6331800a,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
What are the external IDs of the paper SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs?,"{'ArXiv': '2306.17842', 'DBLP': 'journals/corr/abs-2306-17842', 'DOI': '10.48550/arXiv.2306.17842', 'CorpusId': 259308960}",##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
What is the URL of the paper SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs?,https://www.semanticscholar.org/paper/376f494126d1ea4f571ea0263c43ac2b6331800a,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
What is the abstract of the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs'?,"In this work, we introduce Semantic Pyramid AutoEncoder (SPAE) for enabling frozen LLMs to perform both understanding and generation tasks involving non-linguistic modalities such as images or videos. SPAE converts between raw pixels and interpretable lexical tokens (or words) extracted from the LLM's vocabulary. The resulting tokens capture both the semantic meaning and the fine-grained details needed for visual reconstruction, effectively translating the visual content into a language comprehensible to the LLM, and empowering it to perform a wide array of multimodal tasks. Our approach is validated through in-context learning experiments with frozen PaLM 2 and GPT 3.5 on a diverse set of image understanding and generation tasks. Our method marks the first successful attempt to enable a frozen LLM to generate image content while surpassing state-of-the-art performance in image understanding tasks, under the same setting, by over 25%.",##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
In which venue was the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs' published?,arXiv.org,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
In what year was the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs' published?,2023,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
How many references are in the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs'?,52,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
How many citations does the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs' have?,9,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
What is the citation count of 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs' have?,9,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
How many influential citations does the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs' have?,1,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
Is the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs' open access?,Yes,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
What is the open access PDF URL of the paper titled 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs'?,http://arxiv.org/pdf/2306.17842,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
What are the fields of study for the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs'?,Computer Science,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
What is the journal name for the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs'?,"ArXiv, volume: abs/2306.17842; ArXiv",##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
Who are the authors of the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs'?,"Lijun Yu, Yong Cheng, Zhiruo Wang, Vivek Kumar, Wolfgang Macherey, Yanping Huang, David A. Ross, Irfan Essa, Yonatan Bisk, Ming Yang, K. Murphy, A. Hauptmann, Lu Jiang",##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
Who is the first author of the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs'?,Lijun Yu,##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
What is the TLDR summary of the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs'?,"This method marks the first successful attempt to enable a frozen LLM to generate image content while surpassing state-of-the-art performance in image understanding tasks, under the same setting, by over 25%.",##Title: SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs
