Question,Answer,Notes
What is the author ID of Mona Diab?,2138579860,##Title: ALERT: Adapt Language Models to Reasoning Tasks
What is the H-index of Mona Diab?,10,##Title: ALERT: Adapt Language Models to Reasoning Tasks
What is the semantic scholar author name of Mona Diab?,Mona T. Diab,##Title: ALERT: Adapt Language Models to Reasoning Tasks
What is the semantic scholar url of Mona Diab?,https://www.semanticscholar.org/author/2138579860,##Title: ALERT: Adapt Language Models to Reasoning Tasks
What is the affiliation of Mona Diab?,"LTI (CMU), No other affiliations",##Title: ALERT: Adapt Language Models to Reasoning Tasks
What is the paper ID of the paper ALERT: Adapt Language Models to Reasoning Tasks?,4286d07449447f3bfffc1eeb2ee0de9b00dfadfd,##Title: ALERT: Adapt Language Models to Reasoning Tasks
What are the external IDs of the paper ALERT: Adapt Language Models to Reasoning Tasks?,"{'DBLP': 'conf/acl/YuWGAVJGDC23', 'DOI': '10.18653/v1/2023.acl-long.60', 'CorpusId': 259370626}",##Title: ALERT: Adapt Language Models to Reasoning Tasks
What is the URL of the paper ALERT: Adapt Language Models to Reasoning Tasks?,https://www.semanticscholar.org/paper/4286d07449447f3bfffc1eeb2ee0de9b00dfadfd,##Title: ALERT: Adapt Language Models to Reasoning Tasks
What is the abstract of the paper 'ALERT: Adapt Language Models to Reasoning Tasks'?,None,##Title: ALERT: Adapt Language Models to Reasoning Tasks
In which venue was the paper 'ALERT: Adapt Language Models to Reasoning Tasks' published?,Annual Meeting of the Association for Computational Linguistics,##Title: ALERT: Adapt Language Models to Reasoning Tasks
In what year was the paper 'ALERT: Adapt Language Models to Reasoning Tasks' published?,2023,##Title: ALERT: Adapt Language Models to Reasoning Tasks
How many references are in the paper 'ALERT: Adapt Language Models to Reasoning Tasks'?,0,##Title: ALERT: Adapt Language Models to Reasoning Tasks
How many citations does the paper 'ALERT: Adapt Language Models to Reasoning Tasks' have?,0,##Title: ALERT: Adapt Language Models to Reasoning Tasks
What is the citation count of 'ALERT: Adapt Language Models to Reasoning Tasks' have?,0,##Title: ALERT: Adapt Language Models to Reasoning Tasks
How many influential citations does the paper 'ALERT: Adapt Language Models to Reasoning Tasks' have?,0,##Title: ALERT: Adapt Language Models to Reasoning Tasks
Is the paper 'ALERT: Adapt Language Models to Reasoning Tasks' open access?,Yes,##Title: ALERT: Adapt Language Models to Reasoning Tasks
What is the open access PDF URL of the paper titled 'ALERT: Adapt Language Models to Reasoning Tasks'?,https://aclanthology.org/2023.acl-long.60.pdf,##Title: ALERT: Adapt Language Models to Reasoning Tasks
What are the fields of study for the paper 'ALERT: Adapt Language Models to Reasoning Tasks'?,Computer Science,##Title: ALERT: Adapt Language Models to Reasoning Tasks
What is the journal name for the paper 'ALERT: Adapt Language Models to Reasoning Tasks'?,"Annual Meeting of the Association for Computational Linguistics, pages: 1055-1081; Annual Meeting of the Association for Computational Linguistics",##Title: ALERT: Adapt Language Models to Reasoning Tasks
Who are the authors of the paper 'ALERT: Adapt Language Models to Reasoning Tasks'?,"Ping Yu, Tianlu Wang, O. Yu. Golovneva, Badr AlKhamissi, Siddharth Verma, Zhijing Jin, Gargi Ghosh, Mona T. Diab, Asli Celikyilmaz",##Title: ALERT: Adapt Language Models to Reasoning Tasks
Who is the first author of the paper 'ALERT: Adapt Language Models to Reasoning Tasks'?,Ping Yu,##Title: ALERT: Adapt Language Models to Reasoning Tasks
What is the TLDR summary of the paper 'ALERT: Adapt Language Models to Reasoning Tasks'?,"The extensive empirical analysis shows that language models learn more reasoning skills such as textual entailment, abductive reasoning, and analogical reasoning during the finetuning stage compared to pretraining stage, but also finds that when language models are finetuned they tend to overfit to the prompt template, which hurts the robustness of models causing generalization problems.",##Title: ALERT: Adapt Language Models to Reasoning Tasks
