Question,Answer,Notes
What is the name of this paper?,MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies,"##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
What is the author ID of Taylor Berg-Kirkpatrick?,1400419309,"##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
What is the H-index of Taylor Berg-Kirkpatrick?,36,"##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
What is the semantic scholar author name of Taylor Berg-Kirkpatrick?,Taylor Berg-Kirkpatrick,"##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
What is the semantic scholar author name of Taylor Berg-Kirkpatrick?,https://www.semanticscholar.org/author/1400419309,"##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
What is the affiliation of Taylor Berg-Kirkpatrick?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
What is the paper ID of the paper MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies?,464edfd902f652d3ab6a25dbb6d9fa47cc3246a9,"##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
What are the external IDs of the paper MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies?,"{'DBLP': 'journals/corr/abs-2308-01546', 'ArXiv': '2308.01546', 'DOI': '10.48550/arXiv.2308.01546', 'CorpusId': 260438807}","##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
What is the URL of the paper MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies?,https://www.semanticscholar.org/paper/464edfd902f652d3ab6a25dbb6d9fa47cc3246a9,"##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
What is the abstract of the paper 'MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies'?,"Diffusion models have shown promising results in cross-modal generation tasks, including text-to-image and text-to-audio generation. However, generating music, as a special type of audio, presents unique challenges due to limited availability of music data and sensitive issues related to copyright and plagiarism. In this paper, to tackle these challenges, we first construct a state-of-the-art text-to-music model, MusicLDM, that adapts Stable Diffusion and AudioLDM architectures to the music domain. We achieve this by retraining the contrastive language-audio pretraining model (CLAP) and the Hifi-GAN vocoder, as components of MusicLDM, on a collection of music data samples. Then, to address the limitations of training data and to avoid plagiarism, we leverage a beat tracking model and propose two different mixup strategies for data augmentation: beat-synchronous audio mixup and beat-synchronous latent mixup, which recombine training audio directly or via a latent embeddings space, respectively. Such mixup strategies encourage the model to interpolate between musical training samples and generate new music within the convex hull of the training data, making the generated music more diverse while still staying faithful to the corresponding style. In addition to popular evaluation metrics, we design several new evaluation metrics based on CLAP score to demonstrate that our proposed MusicLDM and beat-synchronous mixup strategies improve both the quality and novelty of generated music, as well as the correspondence between input text and generated music.","##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
In which venue was the paper 'MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies' published?,arXiv.org,"##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
In what year was the paper 'MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies' published?,2023,"##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
How many references are in the paper 'MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies'?,42,"##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
How many citations does the paper 'MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies' have?,9,"##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
What is the citation count of 'MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies' have?,9,"##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
How many influential citations does the paper 'MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies' have?,0,"##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
Is the paper 'MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies' open access?,Yes,"##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
What is the open access PDF URL of the paper titled 'MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies'?,https://arxiv.org/pdf/2308.01546,"##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
What are the fields of study for the paper titled 'MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies'?,"Computer Science, Engineering","##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
What is the journal name for the paper titled 'MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies'?,"ArXiv, volume: abs/2308.01546; ArXiv","##Author: Taylor Berg-Kirkpatrick, ##Title: MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies"
