Question,Answer,Notes
What is the name of this paper?,Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
What is the author ID of Yiming Yang?,35729970,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
What is the H-index of Yiming Yang?,64,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
What is the semantic scholar author name of Yiming Yang?,Yiming Yang,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
What is the semantic scholar author name of Yiming Yang?,https://www.semanticscholar.org/author/35729970,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
What is the affiliation of Yiming Yang?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
What is the paper ID of the paper Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study?,48bd660e0841ca990178cfafec01163ba2bb07ee,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
What are the external IDs of the paper Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study?,"{'PubMedCentral': '10369733', 'DOI': '10.1186/s12890-023-02574-6', 'CorpusId': 260121704, 'PubMed': '37491191'}","##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
What is the URL of the paper Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study?,https://www.semanticscholar.org/paper/48bd660e0841ca990178cfafec01163ba2bb07ee,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
What is the abstract of the paper 'Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study'?,None,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
In which venue was the paper 'Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study' published?,BMC Pulmonary Medicine,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
In what year was the paper 'Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study' published?,2023,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
How many references are in the paper 'Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study'?,27,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
How many citations does the paper 'Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study' have?,1,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
What is the citation count of 'Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study' have?,1,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
How many influential citations does the paper 'Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study' have?,0,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
Is the paper 'Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study' open access?,Yes,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
What is the open access PDF URL of the paper titled 'Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study'?,https://bmcpulmmed.biomedcentral.com/counter/pdf/10.1186/s12890-023-02574-6,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
What are the fields of study for the paper titled 'Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study'?,Medicine,"##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
What is the journal name for the paper titled 'Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study'?,"BMC Pulmonary Medicine, volume: 23; BMC Pulmonary Medicine","##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
Who are the authors of the paper 'Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study'?,"Jinzhan Chen, Cong-jun Xie, Yiming Yang, Shuwen Yang, Jin-xiang Huang, Feiyang Ye, Zhenyang Lin, L. Tong, Jiaxin Liu","##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
What is the TLDR summary of the paper 'Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study'?,"AGR level is an independent protective factor for OS in advanced NSCLC patients who received anlotinib therapy, and was positively associated with OS when AGR was larger than 1.24, for every 1 unit increase in AGR, the risk of death lowered approximately by 80%.","##Author: Yiming Yang, ##Title: Association between albumin-to-globulin ratio and the risk of overall survival in advanced non-small cell lung cancer patients with anlotinib treatment: a retrospective cohort study"
