Question,Answer,Notes
What is the author ID of Shinji Watanabe?,1746678,##Title: A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning
What is the H-index of Shinji Watanabe?,67,##Title: A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning
What is the semantic scholar author name of Shinji Watanabe?,Shinji Watanabe,##Title: A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning
What is the semantic scholar author name of Shinji Watanabe?,https://www.semanticscholar.org/author/1746678,##Title: A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning
What is the affiliation of Shinji Watanabe?,"LTI (CMU), No other affiliations",##Title: A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning
What is the paper ID of the paper A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning?,4d35540aaf993c8fa7e1fa5fc6a990f1eb830263,##Title: A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning
What are the external IDs of the paper A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning?,"{'DBLP': 'journals/corr/abs-2305-13331', 'ArXiv': '2305.13331', 'DOI': '10.48550/arXiv.2305.13331', 'CorpusId': 258841801}",##Title: A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning
What is the URL of the paper A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning?,https://www.semanticscholar.org/paper/4d35540aaf993c8fa7e1fa5fc6a990f1eb830263,##Title: A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning
What is the abstract of the paper 'A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning'?,"Aphasia is a language disorder that affects the speaking ability of millions of patients. This paper presents a new benchmark for Aphasia speech recognition and detection tasks using state-of-the-art speech recognition techniques with the AphsiaBank dataset. Specifically, we introduce two multi-task learning methods based on the CTC/Attention architecture to perform both tasks simultaneously. Our system achieves state-of-the-art speaker-level detection accuracy (97.3%), and a relative WER reduction of 11% for moderate Aphasia patients. In addition, we demonstrate the generalizability of our approach by applying it to another disordered speech database, the DementiaBank Pitt corpus. We will make our all-in-one recipes and pre-trained model publicly available to facilitate reproducibility. Our standardized data preprocessing pipeline and open-source recipes enable researchers to compare results directly, promoting progress in disordered speech processing.",##Title: A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning
In which venue was the paper 'A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning' published?,Interspeech,##Title: A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning
In what year was the paper 'A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning' published?,2023,##Title: A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning
How many references are in the paper 'A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning'?,44,##Title: A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning
How many citations does the paper 'A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning' have?,1,##Title: A New Benchmark of Aphasia Speech Recognition and Detection Based on E-Branchformer and Multi-task Learning
