Question,Answer,Notes
What is the author ID of Lori S Levin?,1686960,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
What is the H-index of Lori S Levin?,34,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
What is the semantic scholar author name of Lori S Levin?,Lori S. Levin,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
What is the semantic scholar url of Lori S Levin?,https://www.semanticscholar.org/author/1686960,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
What is the affiliation of Lori S Levin?,"LTI (CMU), No other affiliations",##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
What is the paper ID of the paper Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains?,52a97ad16605c18e23c9750a388a26a9cdf12200,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
What are the external IDs of the paper Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains?,"{'PubMedCentral': '9902934', 'DOI': '10.3389/fpsyg.2022.989593', 'CorpusId': 256107600, 'PubMed': '36760917'}",##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
What is the URL of the paper Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains?,https://www.semanticscholar.org/paper/52a97ad16605c18e23c9750a388a26a9cdf12200,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
What is the abstract of the paper 'Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains'?,"Upper extremity transplantation offers the promise of restored function and regained quality of life (QOL) for individuals who have sustained hand or arm amputation. However, a major challenge for this procedure becoming an accessible treatment option for patients is the lack of standard measures to document benefits to QOL. Patient-reported outcomes (PRO) measures are well-suited for this kind of intervention, where the perspective of the patient is central to defining treatment success. To date, qualitative work with experts, clinicians, and patients has been used to identify the most important domains of QOL for PRO item development. Specifically, our group’s qualitative work has identified several domains of QOL that are unique to individuals who have received upper extremity transplants, which are distinct from topics covered by existing PRO measures. These include emotional and social aspects of upper extremity transplant, such as Expectations and Perceived Outcomes, Integration and Assimilation of Transplant, Fitting in, and Post-Surgical Challenges and Complications. The broad topic of Satisfaction with Transplant was subdivided into three subtopics: Function, Sensation, and Aesthetics. Satisfaction with Sensation was also identified as a unique domain not evaluated by existing PRO measures. This report operationalizes these eight QOL domains by presenting scoping definitions. This manuscript describes the work that has been completed for domain characterization as an early step toward developing standardized PRO measures to evaluate these important outcomes specific to upper extremity transplantation.",##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
In which venue was the paper 'Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains' published?,Frontiers in Psychology,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
In what year was the paper 'Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains' published?,2023,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
How many references are in the paper 'Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains'?,69,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
How many citations does the paper 'Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains' have?,1,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
What is the citation count of 'Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains' have?,1,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
How many influential citations does the paper 'Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains' have?,0,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
Is the paper 'Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains' open access?,Yes,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
What is the open access PDF URL of the paper titled 'Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains'?,https://www.frontiersin.org/articles/10.3389/fpsyg.2022.989593/pdf,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
What are the fields of study for the paper 'Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains'?,Medicine,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
What is the journal name for the paper 'Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains'?,"Frontiers in Psychology, volume: 13; Frontiers in Psychology",##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
Who are the authors of the paper 'Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains'?,"Callie E Tyner, J. Slotkin, Pamela A. Kisala, Lori S. Levin, Scott M. Tintle, D. Tulsky",##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
Who is the first author of the paper 'Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains'?,Callie E Tyner,##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
What is the TLDR summary of the paper 'Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains'?,"Qualitative work with experts, clinicians, and patients has identified several domains of QOL that are unique to individuals who have received upper extremity transplants, which are distinct from topics covered by existing PRO measures.",##Title: Assessment of quality of life after upper extremity transplantation: Framework for patient-reported outcome scale domains
