Question,Answer,Notes
What is the author ID of Maarten Sap?,2729164,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
What is the H-index of Maarten Sap?,36,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
What is the semantic scholar author name of Maarten Sap?,Maarten Sap,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
What is the semantic scholar author name of Maarten Sap?,https://www.semanticscholar.org/author/2729164,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
What are affiliation of Maarten Sap?,"Carnegie Mellon University, Allen Institute for AI",##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
What is the paper ID of the paper Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting?,57d65e85c62aef04dfb2a48380e415fbb790e5ee,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
What are the external IDs of the paper Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting?,"{'DBLP': 'conf/emnlp/YerukolaZCS23', 'DOI': '10.18653/v1/2023.emnlp-main.701', 'CorpusId': 266164131}",##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
What is the URL of the paper Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting?,https://www.semanticscholar.org/paper/57d65e85c62aef04dfb2a48380e415fbb790e5ee,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
What is the abstract of the paper 'Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting'?,None,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
In which venue was the paper 'Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting' published?,Conference on Empirical Methods in Natural Language Processing,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
In what year was the paper 'Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting' published?,2023,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
How many references are in the paper 'Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting'?,0,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
How many citations does the paper 'Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting' have?,0,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
What is the citation count of 'Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting' have?,0,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
How many influential citations does the paper 'Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting' have?,0,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
Is the paper 'Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting' open access?,Yes,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
What is the open access PDF URL of the paper titled 'Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting'?,https://aclanthology.org/2023.emnlp-main.701.pdf,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
What are the fields of study for the paper 'Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting'?,Computer Science,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
What is the journal name for the paper 'Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting'?,"Conference on Empirical Methods in Natural Language Processing, pages: 11419-11444; Conference on Empirical Methods in Natural Language Processing",##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
Who are the authors of the paper 'Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting'?,"Akhila Yerukola, Xuhui Zhou, Elizabeth Clark, Maarten Sap",##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
Who is the first author of the paper 'Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting'?,Akhila Yerukola,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
What is the TLDR summary of the paper 'Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting'?,TLDR not found,##Title: Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting
