Question,Answer,Notes
What is the author ID of Mona Diab?,2138579860,##Title: Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues
What is the H-index of Mona Diab?,10,##Title: Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues
What is the semantic scholar author name of Mona Diab?,Mona T. Diab,##Title: Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues
What is the semantic scholar url of Mona Diab?,https://www.semanticscholar.org/author/2138579860,##Title: Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues
What is the affiliation of Mona Diab?,"LTI (CMU), No other affiliations",##Title: Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues
What is the paper ID of the paper Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues?,5e2f8088647e357bb6440d271ed1fcc4d5ed7e7c,##Title: Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues
What are the external IDs of the paper Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues?,"{'ACL': '2023.clinicalnlp-1.55', 'DBLP': 'conf/acl-clinicalnlp/AlQahtaniSDY23', 'DOI': '10.18653/v1/2023.clinicalnlp-1.55', 'CorpusId': 259833895}",##Title: Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues
What is the URL of the paper Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues?,https://www.semanticscholar.org/paper/5e2f8088647e357bb6440d271ed1fcc4d5ed7e7c,##Title: Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues
What is the abstract of the paper 'Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues'?,"Summarizing medical conversations is one of the tasks proposed by MEDIQA-Chat to promote research on automatic clinical note generation from doctor-patient conversations. In this paper, we present our submission to this task using fine-tuned language models, including T5, BART and BioGPT models. The fine-tuned models are evaluated using ensemble metrics including ROUGE, BERTScore andBLEURT. Among the fine-tuned models, Flan-T5 achieved the highest aggregated score for dialogue summarization.",##Title: Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues
In which venue was the paper 'Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues' published?,Clinical Natural Language Processing Workshop,##Title: Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues
