Question,Answer,Notes
What is the name of this paper?,Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals,"##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
What is the author ID of Tom Mitchell?,40975594,"##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
What is the H-index of Tom Mitchell?,81,"##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
What is the semantic scholar author name of Tom Mitchell?,Tom Michael Mitchell,"##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
What is the semantic scholar author name of Tom Mitchell?,https://www.semanticscholar.org/author/40975594,"##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
What is the affiliation of Tom Mitchell?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
What is the paper ID of the paper Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals?,61678a9f1d8291bb0f3d704a439ac8cd64fa6482,"##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
What are the external IDs of the paper Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals?,"{'ArXiv': '2302.04449', 'DBLP': 'journals/corr/abs-2302-04449', 'DOI': '10.48550/arXiv.2302.04449', 'CorpusId': 256697185}","##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
What is the URL of the paper Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals?,https://www.semanticscholar.org/paper/61678a9f1d8291bb0f3d704a439ac8cd64fa6482,"##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
What is the abstract of the paper 'Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals'?,"High sample complexity has long been a challenge for RL. On the other hand, humans learn to perform tasks not only from interaction or demonstrations, but also by reading unstructured text documents, e.g., instruction manuals. Instruction manuals and wiki pages are among the most abundant data that could inform agents of valuable features and policies or task-specific environmental dynamics and reward structures. Therefore, we hypothesize that the ability to utilize human-written instruction manuals to assist learning policies for specific tasks should lead to a more efficient and better-performing agent. We propose the Read and Reward framework. Read and Reward speeds up RL algorithms on Atari games by reading manuals released by the Atari game developers. Our framework consists of a QA Extraction module that extracts and summarizes relevant information from the manual and a Reasoning module that evaluates object-agent interactions based on information from the manual. An auxiliary reward is then provided to a standard A2C RL agent, when interaction is detected. Experimentally, various RL algorithms obtain significant improvement in performance and training speed when assisted by our design.","##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
In which venue was the paper 'Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals' published?,arXiv.org,"##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
In what year was the paper 'Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals' published?,2023,"##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
How many references are in the paper 'Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals'?,72,"##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
How many citations does the paper 'Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals' have?,15,"##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
What is the citation count of 'Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals' have?,15,"##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
How many influential citations does the paper 'Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals' have?,3,"##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
Is the paper 'Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals' open access?,Yes,"##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
What is the open access PDF URL of the paper titled 'Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals'?,http://arxiv.org/pdf/2302.04449,"##Author: Tom Mitchell, ##Title: Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals"
