Question,Answer,Notes
What is the name of this paper?,SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior,"##Author: Louis-Philippe Morency, ##Title: SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior"
What is the author ID of Louis-Philippe Morency?,49933077,"##Author: Louis-Philippe Morency, ##Title: SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior"
What is the H-index of Louis-Philippe Morency?,79,"##Author: Louis-Philippe Morency, ##Title: SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior"
What is the semantic scholar author name of Louis-Philippe Morency?,Louis-Philippe Morency,"##Author: Louis-Philippe Morency, ##Title: SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior"
What is the semantic scholar author name of Louis-Philippe Morency?,https://www.semanticscholar.org/author/49933077,"##Author: Louis-Philippe Morency, ##Title: SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior"
What is the affiliation of Louis-Philippe Morency?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Louis-Philippe Morency, ##Title: SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior"
What is the paper ID of the paper SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior?,6838c43e702a3f995967ba2e3edd5f65ff5f5511,"##Author: Louis-Philippe Morency, ##Title: SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior"
What are the external IDs of the paper SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior?,"{'DBLP': 'conf/icmi/BilalpurHCSAMC23', 'DOI': '10.1145/3577190.3614136', 'CorpusId': 263629967}","##Author: Louis-Philippe Morency, ##Title: SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior"
What is the URL of the paper SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior?,https://www.semanticscholar.org/paper/6838c43e702a3f995967ba2e3edd5f65ff5f5511,"##Author: Louis-Philippe Morency, ##Title: SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior"
What is the abstract of the paper 'SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior'?,"Depression strongly impacts parents’ behavior. Does parents’ depression strongly affect the behavior of their children as well? To investigate this question, we compared dyadic interactions between 73 depressed and 75 non-depressed mothers and their adolescent child. Families were of low income and 84% were white. Child behavior was measured from audio-video recordings using manual annotation of verbal and nonverbal behavior by expert coders and by multimodal computational measures of facial expression, face and head dynamics, prosody, speech behavior, and linguistics. For both sets of measures, we used Support Vector Machines. For computational measures, we investigated the relative contribution of single versus multiple modalities using a novel approach to SHapley Additive exPlanations (SHAP). Computational measures outperformed manual ratings by human experts. Among individual computational measures, prosody was the most informative. SHAP reduction resulted in a four-fold decrease in the number of features and highest performance (77% accuracy; positive and negative agreements at 75% and 76%, respectively). These findings suggest that maternal depression strongly impacts the behavior of adolescent children; differences are most revealed in prosody; multimodal features together with SHAP reduction are most powerful.","##Author: Louis-Philippe Morency, ##Title: SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior"
In which venue was the paper 'SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior' published?,International Conference on Multimodal Interaction,"##Author: Louis-Philippe Morency, ##Title: SHAP-based Prediction of Mother's History of Depression to Understand the Influence on Child Behavior"
