Question,Answer,Notes
What is the author ID of Yiming Yang?,35729970,##Title: Balancing Exploration and Exploitation in Hierarchical Reinforcement Learning via Latent Landmark Graphs
What is the H-index of Yiming Yang?,64,##Title: Balancing Exploration and Exploitation in Hierarchical Reinforcement Learning via Latent Landmark Graphs
What is the semantic scholar author name of Yiming Yang?,Yiming Yang,##Title: Balancing Exploration and Exploitation in Hierarchical Reinforcement Learning via Latent Landmark Graphs
What is the semantic scholar author name of Yiming Yang?,https://www.semanticscholar.org/author/35729970,##Title: Balancing Exploration and Exploitation in Hierarchical Reinforcement Learning via Latent Landmark Graphs
What is the affiliation of Yiming Yang?,"LTI (CMU), No other affiliations",##Title: Balancing Exploration and Exploitation in Hierarchical Reinforcement Learning via Latent Landmark Graphs
What is the paper ID of the paper Balancing Exploration and Exploitation in Hierarchical Reinforcement Learning via Latent Landmark Graphs?,6a42f6362afa3a1a0936f7a6a8927d04a2285cc5,##Title: Balancing Exploration and Exploitation in Hierarchical Reinforcement Learning via Latent Landmark Graphs
What are the external IDs of the paper Balancing Exploration and Exploitation in Hierarchical Reinforcement Learning via Latent Landmark Graphs?,"{'DBLP': 'journals/corr/abs-2307-12063', 'ArXiv': '2307.12063', 'DOI': '10.1109/IJCNN54540.2023.10190993', 'CorpusId': 260125530}",##Title: Balancing Exploration and Exploitation in Hierarchical Reinforcement Learning via Latent Landmark Graphs
What is the URL of the paper Balancing Exploration and Exploitation in Hierarchical Reinforcement Learning via Latent Landmark Graphs?,https://www.semanticscholar.org/paper/6a42f6362afa3a1a0936f7a6a8927d04a2285cc5,##Title: Balancing Exploration and Exploitation in Hierarchical Reinforcement Learning via Latent Landmark Graphs
What is the abstract of the paper 'Balancing Exploration and Exploitation in Hierarchical Reinforcement Learning via Latent Landmark Graphs'?,"Goal-Conditioned Hierarchical Reinforcement Learning (GCHRL) is a promising paradigm to address the exploration-exploitation dilemma in reinforcement learning. It decomposes the source task into sub goal conditional subtasks and conducts exploration and exploitation in the subgoal space. The effectiveness of GCHRL heavily relies on sub goal representation functions and sub goal selection strategy. However, existing works often overlook the temporal coherence in GCHRL when learning latent sub goal representations and lack an efficient sub goal selection strategy that balances exploration and exploitation. This paper proposes HIerarchical reinforcement learning via dynamically building Latent Landmark graphs (HILL) to overcome these limitations. HILL learns latent subgoal representations that satisfy temporal coherence using a contrastive representation learning objective. Based on these representations, HILL dynamically builds latent landmark graphs and employs a novelty measure on nodes and a utility measure on edges. Finally, HILL develops a subgoal selection strategy that balances exploration and exploitation by jointly considering both measures. Experimental results demonstrate that HILL outperforms state-of-the-art baselines on continuous control tasks with sparse rewards in sample efficiency and asymptotic performance. Our code is available at https://github.com/papercode2022/HILL.",##Title: Balancing Exploration and Exploitation in Hierarchical Reinforcement Learning via Latent Landmark Graphs
In which venue was the paper 'Balancing Exploration and Exploitation in Hierarchical Reinforcement Learning via Latent Landmark Graphs' published?,IEEE International Joint Conference on Neural Network,##Title: Balancing Exploration and Exploitation in Hierarchical Reinforcement Learning via Latent Landmark Graphs
