Question,Answer,Notes
What is the name of this paper?,Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation,"##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
What is the author ID of Rita Singh?,153915824,"##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
What is the H-index of Rita Singh?,25,"##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
What is the semantic scholar author name of Rita Singh?,Rita Singh,"##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
What is the semantic scholar author name of Rita Singh?,https://www.semanticscholar.org/author/153915824,"##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
What is the affiliation of Rita Singh?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
What is the paper ID of the paper Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation?,721b39472c801124b5e3102edffe9d6f0754e1c2,"##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
What are the external IDs of the paper Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation?,"{'PubMedCentral': '10378572', 'DBLP': 'journals/entropy/ZhaoS23', 'DOI': '10.3390/e25071039', 'CorpusId': 259893099, 'PubMed': '37509986'}","##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
What is the URL of the paper Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation?,https://www.semanticscholar.org/paper/721b39472c801124b5e3102edffe9d6f0754e1c2,"##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
What is the abstract of the paper 'Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation'?,"During phonation, the vocal folds exhibit a self-sustained oscillatory motion, which is influenced by the physical properties of the speaker’s vocal folds and driven by the balance of bio-mechanical and aerodynamic forces across the glottis. Subtle changes in the speaker’s physical state can affect voice production and alter these oscillatory patterns. Measuring these can be valuable in developing computational tools that analyze voice to infer the speaker’s state. Traditionally, vocal fold oscillations (VFOs) are measured directly using physical devices in clinical settings. In this paper, we propose a novel analysis-by-synthesis approach that allows us to infer the VFOs directly from recorded speech signals on an individualized, speaker-by-speaker basis. The approach, called the ADLES-VFT algorithm, is proposed in the context of a joint model that combines a phonation model (with a glottal flow waveform as the output) and a vocal tract acoustic wave propagation model such that the output of the joint model is an estimated waveform. The ADLES-VFT algorithm is a forward-backward algorithm which minimizes the error between the recorded waveform and the output of this joint model to estimate its parameters. Once estimated, these parameter values are used in conjunction with a phonation model to obtain its solutions. Since the parameters correlate with the physical properties of the vocal folds of the speaker, model solutions obtained using them represent the individualized VFOs for each speaker. The approach is flexible and can be applied to various phonation models. In addition to presenting the methodology, we show how the VFOs can be quantified from a dynamical systems perspective for classification purposes. Mathematical derivations are provided in an appendix for better readability.","##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
In which venue was the paper 'Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation' published?,Entropy,"##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
In what year was the paper 'Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation' published?,2023,"##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
How many references are in the paper 'Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation'?,55,"##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
How many citations does the paper 'Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation' have?,1,"##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
What is the citation count of 'Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation' have?,1,"##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
How many influential citations does the paper 'Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation' have?,1,"##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
Is the paper 'Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation' open access?,Yes,"##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
What is the open access PDF URL of the paper titled 'Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation'?,https://www.mdpi.com/1099-4300/25/7/1039/pdf?version=1689132568,"##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
What are the fields of study for the paper titled 'Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation'?,"Computer Science, Medicine","##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
What is the journal name for the paper titled 'Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation'?,"Entropy, volume: 25; Entropy","##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
Who are the authors of the paper 'Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation'?,"Wayne Zhao, Rita Singh","##Author: Rita Singh, ##Title: Deriving Vocal Fold Oscillation Information from Recorded Voice Signals Using Models of Phonation"
