Question,Answer,Notes
What is the name of this paper?,Towards Open-Domain Twitter User Profile Inference,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
What is the author ID of Alexander Hauptmann?,7661726,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
What is the H-index of Alexander Hauptmann?,81,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
What is the semantic scholar author name of Alexander Hauptmann?,Alexander Hauptmann,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
What is the semantic scholar author name of Alexander Hauptmann?,https://www.semanticscholar.org/author/7661726,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
What is the affiliation of Alexander Hauptmann?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
What is the paper ID of the paper Towards Open-Domain Twitter User Profile Inference?,72cce47fd053bf916314d89a8174726c58c05e02,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
What are the external IDs of the paper Towards Open-Domain Twitter User Profile Inference?,"{'DBLP': 'conf/acl/WenXHH23', 'DOI': '10.18653/v1/2023.findings-acl.198', 'CorpusId': 259859135}","##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
What is the URL of the paper Towards Open-Domain Twitter User Profile Inference?,https://www.semanticscholar.org/paper/72cce47fd053bf916314d89a8174726c58c05e02,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
What is the abstract of the paper 'Towards Open-Domain Twitter User Profile Inference'?,",","##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
In which venue was the paper 'Towards Open-Domain Twitter User Profile Inference' published?,Annual Meeting of the Association for Computational Linguistics,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
In what year was the paper 'Towards Open-Domain Twitter User Profile Inference' published?,2023,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
How many references are in the paper 'Towards Open-Domain Twitter User Profile Inference'?,61,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
How many citations does the paper 'Towards Open-Domain Twitter User Profile Inference' have?,0,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
What is the citation count of 'Towards Open-Domain Twitter User Profile Inference' have?,0,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
How many influential citations does the paper 'Towards Open-Domain Twitter User Profile Inference' have?,0,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
Is the paper 'Towards Open-Domain Twitter User Profile Inference' open access?,Yes,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
What is the open access PDF URL of the paper titled 'Towards Open-Domain Twitter User Profile Inference'?,https://aclanthology.org/2023.findings-acl.198.pdf,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
What are the fields of study for the paper titled 'Towards Open-Domain Twitter User Profile Inference'?,Computer Science,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
What is the journal name for the paper titled 'Towards Open-Domain Twitter User Profile Inference'?,"Annual Meeting of the Association for Computational Linguistics, pages: 3172-3188; Annual Meeting of the Association for Computational Linguistics","##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
Who are the authors of the paper 'Towards Open-Domain Twitter User Profile Inference'?,"Haoyang Wen, Zhenxin Xiao, E. Hovy, Alexander Hauptmann","##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
What is the TLDR summary of the paper 'Towards Open-Domain Twitter User Profile Inference'?,,"##Author: Alexander Hauptmann, ##Title: Towards Open-Domain Twitter User Profile Inference"
