Question,Answer,Notes
What is the author ID of Yiming Yang?,46286308,##Title: Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation
What is the H-index of Yiming Yang?,17,##Title: Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation
What is the semantic scholar author name of Yiming Yang?,Yiming Yang,##Title: Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation
What is the semantic scholar author name of Yiming Yang?,https://www.semanticscholar.org/author/46286308,##Title: Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation
What is the affiliation of Yiming Yang?,"LTI (CMU), No other affiliations",##Title: Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation
What is the paper ID of the paper Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation?,846f60ef3b98590c7ad1d84727c66a08cc2258c8,##Title: Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation
What are the external IDs of the paper Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation?,"{'DBLP': 'journals/corr/abs-2308-03725', 'ArXiv': '2308.03725', 'DOI': '10.48550/arXiv.2308.03725', 'CorpusId': 260681733}",##Title: Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation
What is the URL of the paper Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation?,https://www.semanticscholar.org/paper/846f60ef3b98590c7ad1d84727c66a08cc2258c8,##Title: Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation
What is the abstract of the paper 'Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation'?,"Temporal Sentence Grounding in Videos (TSGV) aims to detect the event timestamps described by the natural language query from untrimmed videos. This paper discusses the challenge of achieving efficient computation in TSGV models while maintaining high performance. Most existing approaches exquisitely design complex architectures to improve accuracy with extra layers and loss, suffering from inefficiency and heaviness. Although some works have noticed that, they only make an issue of feature fusion layers, which can hardly enjoy the highspeed merit in the whole clunky network. To tackle this problem, we propose a novel efficient multi-teacher model (EMTM) based on knowledge distillation to transfer diverse knowledge from both heterogeneous and isomorphic networks. Specifically, We first unify different outputs of the heterogeneous models into one single form. Next, a Knowledge Aggregation Unit (KAU) is built to acquire high-quality integrated soft labels from multiple teachers. After that, the KAU module leverages the multi-scale video and global query information to adaptively determine the weights of different teachers. A Shared Encoder strategy is then proposed to solve the problem that the student shallow layers hardly benefit from teachers, in which an isomorphic teacher is collaboratively trained with the student to align their hidden states. Extensive experimental results on three popular TSGV benchmarks demonstrate that our method is both effective and efficient without bells and whistles.",##Title: Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation
In which venue was the paper 'Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation' published?,arXiv.org,##Title: Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation
In what year was the paper 'Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation' published?,2023,##Title: Efficient Temporal Sentence Grounding in Videos with Multi-Teacher Knowledge Distillation
