Question,Answer,Notes
What is the name of this paper?,StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields,"##Author: Eric P. Xing, ##Title: StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields"
What is the author ID of Eric P. Xing?,143977260,"##Author: Eric P. Xing, ##Title: StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields"
What is the H-index of Eric P. Xing?,103,"##Author: Eric P. Xing, ##Title: StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields"
What is the semantic scholar author name of Eric P. Xing?,E. Xing,"##Author: Eric P. Xing, ##Title: StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields"
What is the semantic scholar author name of Eric P. Xing?,https://www.semanticscholar.org/author/143977260,"##Author: Eric P. Xing, ##Title: StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields"
What is the affiliation of Eric P. Xing?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Eric P. Xing, ##Title: StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields"
What is the paper ID of the paper StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields?,8cc1cd002bfc36a8cba8bcbe63d32eacc656097f,"##Author: Eric P. Xing, ##Title: StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields"
What are the external IDs of the paper StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields?,"{'DBLP': 'conf/cvpr/LiuZCZYELX23', 'ArXiv': '2303.10598', 'DOI': '10.1109/CVPR52729.2023.00806', 'CorpusId': 257632294}","##Author: Eric P. Xing, ##Title: StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields"
What is the URL of the paper StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields?,https://www.semanticscholar.org/paper/8cc1cd002bfc36a8cba8bcbe63d32eacc656097f,"##Author: Eric P. Xing, ##Title: StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields"
What is the abstract of the paper 'StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields'?,"3D style transfer aims to render stylized novel views of a 3D scene with multiview consistency. However, most existing work suffers from a three-way dilemma over accurate geometry reconstruction, high-quality stylization, and being generalizable to arbitrary new styles. We propose StyleRF (Style Radiance Fields), an innovative 3D style transfer technique that resolves the three-way dilemma by performing style transformation within the feature space of a radiance field. StyleRF employs an explicit grid of high-level features to represent 3D scenes, with which highfidelity geometry can be reliably restored via volume rendering. In addition, it transforms the grid features according to the reference style which directly leads to high-quality zero-shot style transfer. StyleRF consists of two innovative designs. The first is sampling-invariant content transformation that makes the transformation invariant to the holistic statistics of the sampled 3D points and accordingly ensures multi-view consistency. The second is deferred style transformation of 2D feature maps which is equivalent to the transformation of 3D points but greatly reduces memory footprint without degrading multi-view consistency. Extensive experiments show that StyleRF achieves superior 3D stylization quality with precise geometry reconstruction and it can generalize to various new styles in a zero-shot manner. Project website: https://kunhao-liu.github.io/StyleRF/","##Author: Eric P. Xing, ##Title: StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields"
