Question,Answer,Notes
What is the name of this paper?,Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks,"##Author: Shinji Watanabe, ##Title: Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks"
What is the author ID of Shinji Watanabe?,1746678,"##Author: Shinji Watanabe, ##Title: Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks"
What is the H-index of Shinji Watanabe?,67,"##Author: Shinji Watanabe, ##Title: Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks"
What is the semantic scholar author name of Shinji Watanabe?,Shinji Watanabe,"##Author: Shinji Watanabe, ##Title: Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks"
What is the semantic scholar author name of Shinji Watanabe?,https://www.semanticscholar.org/author/1746678,"##Author: Shinji Watanabe, ##Title: Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks"
What is the affiliation of Shinji Watanabe?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Shinji Watanabe, ##Title: Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks"
What is the paper ID of the paper Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks?,91a06713cbccbfb1b5e1b9f7b62a1fba348616c3,"##Author: Shinji Watanabe, ##Title: Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks"
What are the external IDs of the paper Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks?,"{'DBLP': 'journals/corr/abs-2309-07937', 'ArXiv': '2309.07937', 'DOI': '10.48550/arXiv.2309.07937', 'CorpusId': 261881790}","##Author: Shinji Watanabe, ##Title: Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks"
What is the URL of the paper Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks?,https://www.semanticscholar.org/paper/91a06713cbccbfb1b5e1b9f7b62a1fba348616c3,"##Author: Shinji Watanabe, ##Title: Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks"
What is the abstract of the paper 'Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks'?,"We propose a decoder-only language model, VoxtLM, that can perform four tasks: speech recognition, speech synthesis, text generation, and speech continuation. VoxtLM integrates text vocabulary with discrete speech tokens from self-supervised speech features and uses special tokens to enable multitask learning. Compared to a single-task model, VoxtLM exhibits a significant improvement in speech synthesis, with improvements in both speech intelligibility from 28.9 to 5.6 and objective quality from 2.68 to 3.90. VoxtLM also improves speech generation and speech recognition performance over the single-task counterpart. Further, VoxtLM is trained with publicly available data and training recipes and model checkpoints are open-sourced to make fully reproducible work.","##Author: Shinji Watanabe, ##Title: Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks"
In which venue was the paper 'Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks' published?,arXiv.org,"##Author: Shinji Watanabe, ##Title: Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks"
In what year was the paper 'Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks' published?,2023,"##Author: Shinji Watanabe, ##Title: Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks"
How many references are in the paper 'Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks'?,40,"##Author: Shinji Watanabe, ##Title: Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks"
How many citations does the paper 'Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks' have?,5,"##Author: Shinji Watanabe, ##Title: Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks"
What is the citation count of 'Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks' have?,5,"##Author: Shinji Watanabe, ##Title: Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks"
