Question,Answer,Notes
What is the author ID of Shinji Watanabe?,1746678,"##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
What is the H-index of Shinji Watanabe?,67,"##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
What is the semantic scholar author name of Shinji Watanabe?,Shinji Watanabe,"##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
What is the semantic scholar url of Shinji Watanabe?,https://www.semanticscholar.org/author/1746678,"##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
What is the affiliation of Shinji Watanabe?,"LTI (CMU), No other affiliations","##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"What is the paper ID of the paper Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study?",bb4c59fc93d5be6b3d85dfde9d08e3dab80db9b7,"##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"What are the external IDs of the paper Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study?","{'DBLP': 'journals/corr/abs-2309-15800', 'ArXiv': '2309.15800', 'DOI': '10.48550/arXiv.2309.15800', 'CorpusId': 263152563}","##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"What is the URL of the paper Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study?",https://www.semanticscholar.org/paper/bb4c59fc93d5be6b3d85dfde9d08e3dab80db9b7,"##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"What is the abstract of the paper 'Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study'?","Speech signals, typically sampled at rates in the tens of thousands per second, contain redundancies, evoking inefficiencies in sequence modeling. High-dimensional speech features such as spectrograms are often used as the input for the subsequent model. However, they can still be redundant. Recent investigations proposed the use of discrete speech units derived from self-supervised learning representations, which significantly compresses the size of speech data. Applying various methods, such as de-duplication and subword modeling, can further compress the speech sequence length. Hence, training time is significantly reduced while retaining notable performance. In this study, we undertake a comprehensive and systematic exploration into the application of discrete units within end-to-end speech processing models. Experiments on 12 automatic speech recognition, 3 speech translation, and 1 spoken language understanding corpora demonstrate that discrete units achieve reasonably good results in almost all the settings. We intend to release our configurations and trained models to foster future research efforts.","##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"In which venue was the paper 'Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study' published?",arXiv.org,"##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"In what year was the paper 'Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study' published?",2023,"##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"How many references are in the paper 'Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study'?",46,"##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"How many citations does the paper 'Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study' have?",2,"##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"What is the citation count of 'Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study' have?",2,"##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"How many influential citations does the paper 'Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study' have?",0,"##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"Is the paper 'Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study' open access?",Yes,"##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"What is the open access PDF URL of the paper titled 'Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study'?",https://arxiv.org/pdf/2309.15800,"##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"What are the fields of study for the paper 'Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study'?","Computer Science, Engineering","##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"What is the journal name for the paper 'Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study'?","ArXiv, volume: abs/2309.15800; ArXiv","##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"Who are the authors of the paper 'Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study'?","Xuankai Chang, Brian Yan, Kwanghee Choi, Jee-weon Jung, Yichen Lu, Soumi Maiti, Roshan Sharma, Jiatong Shi, Jinchuan Tian, Shinji Watanabe, Yuya Fujita, Takashi Maekaku, Pengcheng Guo, Yao-Fei Cheng, Pavel Denisov, Kohei Saijo, Hsiu-Hsuan Wang","##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
"Who is the first author of the paper 'Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study'?",Xuankai Chang,"##Title: Exploring Speech Recognition, Translation, and Understanding with Discrete Speech Units: A Comparative Study"
