Question,Answer,Notes
What is the author ID of Shinji Watanabe?,1746678,##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
What is the H-index of Shinji Watanabe?,67,##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
What is the semantic scholar author name of Shinji Watanabe?,Shinji Watanabe,##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
What is the semantic scholar url of Shinji Watanabe?,https://www.semanticscholar.org/author/1746678,##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
What is the affiliation of Shinji Watanabe?,"LTI (CMU), No other affiliations",##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
What is the paper ID of the paper Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization?,c2745e86ecc9bec372690cced53ccfdf44f407f8,##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
What are the external IDs of the paper Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization?,"{'DBLP': 'journals/corr/abs-2309-15686', 'ArXiv': '2309.15686', 'DOI': '10.48550/arXiv.2309.15686', 'CorpusId': 263152687}",##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
What is the URL of the paper Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization?,https://www.semanticscholar.org/paper/c2745e86ecc9bec372690cced53ccfdf44f407f8,##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
What is the abstract of the paper 'Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization'?,"Incorporating longer context has been shown to benefit machine translation, but the inclusion of context in end-to-end speech translation (E2E-ST) remains under-studied. To bridge this gap, we introduce target language context in E2E-ST, enhancing coherence and overcoming memory constraints of extended audio segments. Additionally, we propose context dropout to ensure robustness to the absence of context, and further improve performance by adding speaker information. Our proposed contextual E2E-ST outperforms the isolated utterance-based E2E-ST approach. Lastly, we demonstrate that in conversational speech, contextual information primarily contributes to capturing context style, as well as resolving anaphora and named entities.",##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
In which venue was the paper 'Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization' published?,arXiv.org,##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
In what year was the paper 'Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization' published?,2023,##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
How many references are in the paper 'Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization'?,38,##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
How many citations does the paper 'Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization' have?,0,##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
What is the citation count of 'Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization' have?,0,##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
How many influential citations does the paper 'Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization' have?,0,##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
Is the paper 'Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization' open access?,Yes,##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
What is the open access PDF URL of the paper titled 'Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization'?,https://arxiv.org/pdf/2309.15686,##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
What are the fields of study for the paper 'Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization'?,"Computer Science, Engineering",##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
What is the journal name for the paper 'Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization'?,"ArXiv, volume: abs/2309.15686; ArXiv",##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
Who are the authors of the paper 'Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization'?,"A. Hussein, Brian Yan, Antonios Anastasopoulos, Shinji Watanabe, S. Khudanpur",##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
Who is the first author of the paper 'Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization'?,A. Hussein,##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
What is the TLDR summary of the paper 'Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization'?,"This work introduces target language context in E2E-ST, enhancing coherence and overcoming memory constraints of extended audio segments, and proposes context dropout to ensure robustness to the absence of context, and improves performance by adding speaker information.",##Title: Enhancing End-to-End Conversational Speech Translation Through Target Language Context Utilization
