Question,Answer,Notes
What is the name of this paper?,Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
What is the author ID of Mona Diab?,1700007,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
What is the H-index of Mona Diab?,50,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
What is the semantic scholar author name of Mona Diab?,Mona T. Diab,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
What is the semantic scholar author name of Mona Diab?,https://www.semanticscholar.org/author/1700007,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
What is the affiliation of Mona Diab?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
What is the paper ID of the paper Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology?,c5849f406e8263806a84e1a407ec0e0fe131bd5c,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
What are the external IDs of the paper Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology?,"{'DBLP': 'conf/iwslt/SaleskyDADN23', 'ACL': '2023.iwslt-1.2', 'DOI': '10.18653/v1/2023.iwslt-1.2', 'CorpusId': 259376542}","##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
What is the URL of the paper Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology?,https://www.semanticscholar.org/paper/c5849f406e8263806a84e1a407ec0e0fe131bd5c,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
What is the abstract of the paper 'Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology'?,"We present the ACL 60/60 evaluation sets for multilingual translation of ACL 2022 technical presentations into 10 target languages. This dataset enables further research into multilingual speech translation under realistic recording conditions with unsegmented audio and domain-specific terminology, applying NLP tools to text and speech in the technical domain, and evaluating and improving model robustness to diverse speaker demographics.","##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
In which venue was the paper 'Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology' published?,International Workshop on Spoken Language Translation,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
In what year was the paper 'Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology' published?,2023,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
How many references are in the paper 'Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology'?,43,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
How many citations does the paper 'Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology' have?,7,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
What is the citation count of 'Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology' have?,7,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
How many influential citations does the paper 'Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology' have?,0,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
Is the paper 'Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology' open access?,Yes,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
What is the open access PDF URL of the paper titled 'Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology'?,https://aclanthology.org/2023.iwslt-1.2.pdf,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
What are the fields of study for the paper titled 'Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology'?,Computer Science,"##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
What is the journal name for the paper titled 'Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology'?,"International Workshop on Spoken Language Translation, pages: 62-78; International Workshop on Spoken Language Translation","##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
Who are the authors of the paper 'Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology'?,"Elizabeth Salesky, Kareem Darwish, Mohamed Al-Badrashiny, Mona T. Diab, J. Niehues","##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
What is the TLDR summary of the paper 'Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology'?,"This dataset enables further research into multilingual speech translation under realistic recording conditions with unsegmented audio and domain-specific terminology, applying NLP tools to text and speech in the technical domain, and evaluating and improving model robustness to diverse speaker demographics.","##Author: Mona Diab, ##Title: Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"
