Question,Answer,Notes
What is the author ID of Shinji Watanabe?,1746678,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
What is the H-index of Shinji Watanabe?,67,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
What is the semantic scholar author name of Shinji Watanabe?,Shinji Watanabe,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
What is the semantic scholar author name of Shinji Watanabe?,https://www.semanticscholar.org/author/1746678,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
What is the affiliation of Shinji Watanabe?,"LTI (CMU), No other affiliations",##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
What is the paper ID of the paper Challenges of Corporate Alliance CLOMA toward Plastic Litter?,c6f5da5eb57457457a49256f1434bf1db23d1898,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
What are the external IDs of the paper Challenges of Corporate Alliance CLOMA toward Plastic Litter?,"{'DOI': '10.5650/oleoscience.23.29', 'CorpusId': 255715394}",##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
What is the URL of the paper Challenges of Corporate Alliance CLOMA toward Plastic Litter?,https://www.semanticscholar.org/paper/c6f5da5eb57457457a49256f1434bf1db23d1898,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
What is the abstract of the paper 'Challenges of Corporate Alliance CLOMA toward Plastic Litter'?,None,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
In which venue was the paper 'Challenges of Corporate Alliance CLOMA toward Plastic Litter' published?,Oleoscience,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
In what year was the paper 'Challenges of Corporate Alliance CLOMA toward Plastic Litter' published?,2023,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
How many references are in the paper 'Challenges of Corporate Alliance CLOMA toward Plastic Litter'?,1,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
How many citations does the paper 'Challenges of Corporate Alliance CLOMA toward Plastic Litter' have?,0,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
What is the citation count of 'Challenges of Corporate Alliance CLOMA toward Plastic Litter' have?,0,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
How many influential citations does the paper 'Challenges of Corporate Alliance CLOMA toward Plastic Litter' have?,0,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
Is the paper 'Challenges of Corporate Alliance CLOMA toward Plastic Litter' open access?,Yes,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
What is the open access PDF URL of the paper titled 'Challenges of Corporate Alliance CLOMA toward Plastic Litter'?,https://www.jstage.jst.go.jp/article/oleoscience/23/1/23_29/_pdf,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
What are the fields of study for the paper 'Challenges of Corporate Alliance CLOMA toward Plastic Litter'?,fields not available,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
What is the journal name for the paper 'Challenges of Corporate Alliance CLOMA toward Plastic Litter'?,Oleoscience,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
Who are the authors of the paper 'Challenges of Corporate Alliance CLOMA toward Plastic Litter'?,Shinji Watanabe,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
Who is the first author of the paper 'Challenges of Corporate Alliance CLOMA toward Plastic Litter'?,Shinji Watanabe,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
What is the TLDR summary of the paper 'Challenges of Corporate Alliance CLOMA toward Plastic Litter'?,TLDR not found,##Title: Challenges of Corporate Alliance CLOMA toward Plastic Litter
