Question,Answer,Notes
What is the name of this paper?,From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition,"##Author: Jeffrey Bigham, ##Title: From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition"
What is the author ID of Jeffrey Bigham?,1744846,"##Author: Jeffrey Bigham, ##Title: From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition"
What is the H-index of Jeffrey Bigham?,56,"##Author: Jeffrey Bigham, ##Title: From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition"
What is the semantic scholar author name of Jeffrey Bigham?,Jeffrey P. Bigham,"##Author: Jeffrey Bigham, ##Title: From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition"
What is the semantic scholar author name of Jeffrey Bigham?,https://www.semanticscholar.org/author/1744846,"##Author: Jeffrey Bigham, ##Title: From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition"
What is the affiliation of Jeffrey Bigham?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Jeffrey Bigham, ##Title: From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition"
What is the paper ID of the paper From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition?,f29922cbfaf825d5e1d4986dc01bda74b4d88e04,"##Author: Jeffrey Bigham, ##Title: From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition"
What are the external IDs of the paper From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition?,"{'DBLP': 'conf/chi/LeaHNTYTGBF23', 'ArXiv': '2302.09044', 'DOI': '10.1145/3544548.3581224', 'CorpusId': 257019977}","##Author: Jeffrey Bigham, ##Title: From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition"
What is the URL of the paper From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition?,https://www.semanticscholar.org/paper/f29922cbfaf825d5e1d4986dc01bda74b4d88e04,"##Author: Jeffrey Bigham, ##Title: From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition"
What is the abstract of the paper 'From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition'?,"Consumer speech recognition systems do not work as well for many people with speech differences, such as stuttering, relative to the rest of the general population. However, what is not clear is the degree to which these systems do not work, how they can be improved, or how much people want to use them. In this paper, we first address these questions using results from a 61-person survey from people who stutter and find participants want to use speech recognition but are frequently cut off, misunderstood, or speech predictions do not represent intent. In a second study, where 91 people who stutter recorded voice assistant commands and dictation, we quantify how dysfluencies impede performance in a consumer-grade speech recognition system. Through three technical investigations, we demonstrate how many common errors can be prevented, resulting in a system that cuts utterances off 79.1% less often and improves word error rate from 25.4% to 9.9%.","##Author: Jeffrey Bigham, ##Title: From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition"
