Question,Answer,Notes
What is the name of this paper?,Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions,"##Author: Louis-Philippe Morency, ##Title: Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions"
What is the author ID of Louis-Philippe Morency?,49933077,"##Author: Louis-Philippe Morency, ##Title: Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions"
What is the H-index of Louis-Philippe Morency?,79,"##Author: Louis-Philippe Morency, ##Title: Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions"
What is the semantic scholar author name of Louis-Philippe Morency?,Louis-Philippe Morency,"##Author: Louis-Philippe Morency, ##Title: Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions"
What is the semantic scholar author name of Louis-Philippe Morency?,https://www.semanticscholar.org/author/49933077,"##Author: Louis-Philippe Morency, ##Title: Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions"
What is the affiliation of Louis-Philippe Morency?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Louis-Philippe Morency, ##Title: Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions"
What is the paper ID of the paper Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions?,f891e9eeedbf20cdc54429ffcc0402a10f48494e,"##Author: Louis-Philippe Morency, ##Title: Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions"
What are the external IDs of the paper Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions?,"{'DBLP': 'journals/corr/abs-2306-04597', 'ArXiv': '2306.04597', 'ACL': '2023.acl-short.30', 'DOI': '10.48550/arXiv.2306.04597', 'CorpusId': 259095603}","##Author: Louis-Philippe Morency, ##Title: Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions"
What is the URL of the paper Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions?,https://www.semanticscholar.org/paper/f891e9eeedbf20cdc54429ffcc0402a10f48494e,"##Author: Louis-Philippe Morency, ##Title: Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions"
What is the abstract of the paper 'Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions'?,"Societal biases present in pre-trained large language models are a critical issue as these models have been shown to propagate biases in countless downstream applications, rendering them unfair towards specific groups of people. Since large-scale retraining of these models from scratch is both time and compute-expensive, a variety of approaches have been previously proposed that de-bias a pre-trained model. While the majority of current state-of-the-art debiasing methods focus on changes to the training regime, in this paper, we propose data intervention strategies as a powerful yet simple technique to reduce gender bias in pre-trained models. Specifically, we empirically show that by fine-tuning a pre-trained model on only 10 debiased (intervened) training examples, the tendency to favor any gender is significantly reduced. Since our proposed method only needs a few training examples, we argue that our few-shot de-biasing approach is highly feasible and practical. Through extensive experimentation, we show that our de-biasing technique performs better than competitive state-of-the-art baselines with minimal loss in language modeling ability.","##Author: Louis-Philippe Morency, ##Title: Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions"
