Question,Answer
What is the course number of Exploring Pittsburgh?,48111
What is the name of course number 48111?,Exploring Pittsburgh
What time does the course 48111 Exploring Pittsburgh begin?,09:00AM
What time does the course 48111 Exploring Pittsburgh end?,11:50AM
What days does the course 48111 Exploring Pittsburgh meet?,Friday
What is the location of the course 48111 Exploring Pittsburgh?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48111 Exploring Pittsburgh?,CFA 214
How many units is the course 48111 Exploring Pittsburgh?,3.0
Who are the instructors of the course 48111 Exploring Pittsburgh?,Torello
"What is the course number of History of World Architecture, I?",48240
What is the name of course number 48240?,"History of World Architecture, I"
"What time does the course 48240 History of World Architecture, I begin?",11:00AM
"What time does the course 48240 History of World Architecture, I end?",12:20PM
"What days does the course 48240 History of World Architecture, I meet?","Tuesday, Thursday"
"What is the location of the course 48240 History of World Architecture, I?","Pittsburgh, Pennsylvania"
"What is the building and room number of the course 48240 History of World Architecture, I?",MM A14
"How many units is the course 48240 History of World Architecture, I?",9.0
"Who are the instructors of the course 48240 History of World Architecture, I?",Shaw
What is the course number of The Chair?,48317
What is the name of course number 48317?,The Chair
What time does the course 48317 The Chair begin?,10:00AM
What time does the course 48317 The Chair end?,11:50AM
What days does the course 48317 The Chair meet?,"Monday, Friday"
What is the location of the course 48317 The Chair?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48317 The Chair?,CFA 211
How many units is the course 48317 The Chair?,9.0
Who are the instructors of the course 48317 The Chair?,Achnani
What is the course number of Structural Design 1: Form and Forces?,48324
What is the name of course number 48324?,Structural Design 1: Form and Forces
What time does the course 48324 Structural Design 1: Form and Forces begin?,11:00AM
What time does the course 48324 Structural Design 1: Form and Forces end?,12:20PM
What days does the course 48324 Structural Design 1: Form and Forces meet?,"Tuesday, Thursday"
What is the location of the course 48324 Structural Design 1: Form and Forces?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48324 Structural Design 1: Form and Forces?,GHC 4307
How many units is the course 48324 Structural Design 1: Form and Forces?,6.0
Who are the instructors of the course 48324 Structural Design 1: Form and Forces?,Lee
What is the course number of Perspective?,48355
What is the name of course number 48355?,Perspective
What time does the course 48355 Perspective begin?,02:00PM
What time does the course 48355 Perspective end?,04:50PM
What days does the course 48355 Perspective meet?,Thursday
What is the location of the course 48355 Perspective?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48355 Perspective?,CFA 206A
How many units is the course 48355 Perspective?,9.0
Who are the instructors of the course 48355 Perspective?,Cooper
What is the course number of Constructing Value(s): Economies of Design?,48380
What is the name of course number 48380?,Constructing Value(s): Economies of Design
What time does the course 48380 Constructing Value(s): Economies of Design begin?,09:00AM
What time does the course 48380 Constructing Value(s): Economies of Design end?,10:50AM
What days does the course 48380 Constructing Value(s): Economies of Design meet?,"Tuesday, "
What is the location of the course 48380 Constructing Value(s): Economies of Design?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48380 Constructing Value(s): Economies of Design?,CFA 214
How many units is the course 48380 Constructing Value(s): Economies of Design?,6.0
Who are the instructors of the course 48380 Constructing Value(s): Economies of Design?,Volcy
What is the course number of Ethics and Decision Making in Architecture?,48383
What is the name of course number 48383?,Ethics and Decision Making in Architecture
What time does the course 48383 Ethics and Decision Making in Architecture begin?,10:00AM
What time does the course 48383 Ethics and Decision Making in Architecture end?,11:50AM
What days does the course 48383 Ethics and Decision Making in Architecture meet?,"Tuesday, "
What is the location of the course 48383 Ethics and Decision Making in Architecture?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48383 Ethics and Decision Making in Architecture?,MM 103
How many units is the course 48383 Ethics and Decision Making in Architecture?,6.0
Who are the instructors of the course 48383 Ethics and Decision Making in Architecture?,Vavasis
What is the course number of EX-CHANGE: Exhibition & Publication in Practice?,48425
What is the name of course number 48425?,EX-CHANGE: Exhibition & Publication in Practice
What time does the course 48425 EX-CHANGE: Exhibition & Publication in Practice begin?,09:00AM
What time does the course 48425 EX-CHANGE: Exhibition & Publication in Practice end?,09:50AM
What days does the course 48425 EX-CHANGE: Exhibition & Publication in Practice meet?,"Monday, Wednesday, "
What is the location of the course 48425 EX-CHANGE: Exhibition & Publication in Practice?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48425 EX-CHANGE: Exhibition & Publication in Practice?,MM 307
How many units is the course 48425 EX-CHANGE: Exhibition & Publication in Practice?,3.0
Who are the instructors of the course 48425 EX-CHANGE: Exhibition & Publication in Practice?,Rafson
What is the course number of Design and Documentation in Revit?,48485
What is the name of course number 48485?,Design and Documentation in Revit
What time does the course 48485 Design and Documentation in Revit begin?,09:30AM
What time does the course 48485 Design and Documentation in Revit end?,10:50AM
What days does the course 48485 Design and Documentation in Revit meet?,"Monday, "
What is the location of the course 48485 Design and Documentation in Revit?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48485 Design and Documentation in Revit?,MM A11
How many units is the course 48485 Design and Documentation in Revit?,3.0
Who are the instructors of the course 48485 Design and Documentation in Revit?,Sawyer
What is the course number of Building Performance Modeling?,48524
What is the name of course number 48524?,Building Performance Modeling
What time does the course 48524 Building Performance Modeling begin?,02:00PM
What time does the course 48524 Building Performance Modeling end?,03:20PM
What days does the course 48524 Building Performance Modeling meet?,"Tuesday, Thursday"
What is the location of the course 48524 Building Performance Modeling?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48524 Building Performance Modeling?,MM 415IW
How many units is the course 48524 Building Performance Modeling?,9.0
Who are the instructors of the course 48524 Building Performance Modeling?,Liang
What is the course number of Formless as an Operation?,48557
What is the name of course number 48557?,Formless as an Operation
What time does the course 48557 Formless as an Operation begin?,09:00AM
What time does the course 48557 Formless as an Operation end?,11:50AM
What days does the course 48557 Formless as an Operation meet?,Friday
What is the location of the course 48557 Formless as an Operation?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48557 Formless as an Operation?,MM 409
How many units is the course 48557 Formless as an Operation?,9.0
Who are the instructors of the course 48557 Formless as an Operation?,Bizon
What is the course number of Carnival Gateway Special Project (CARNIVAL GATEWAY)?,48616
What is the name of course number 48616?,Carnival Gateway Special Project (CARNIVAL GATEWAY)
What time does the course 48616 Carnival Gateway Special Project (CARNIVAL GATEWAY) begin?,06:30PM
What time does the course 48616 Carnival Gateway Special Project (CARNIVAL GATEWAY) end?,07:50PM
What days does the course 48616 Carnival Gateway Special Project (CARNIVAL GATEWAY) meet?,"Monday, "
What is the location of the course 48616 Carnival Gateway Special Project (CARNIVAL GATEWAY)?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48616 Carnival Gateway Special Project (CARNIVAL GATEWAY)?,CFA 206A
How many units is the course 48616 Carnival Gateway Special Project (CARNIVAL GATEWAY)?,VAR
Who are the instructors of the course 48616 Carnival Gateway Special Project (CARNIVAL GATEWAY)?,Khan
What is the course number of Discourse and Praxis in the Climate Emergency?,48618
What is the name of course number 48618?,Discourse and Praxis in the Climate Emergency
What time does the course 48618 Discourse and Praxis in the Climate Emergency begin?,11:00AM
What time does the course 48618 Discourse and Praxis in the Climate Emergency end?,12:20PM
What days does the course 48618 Discourse and Praxis in the Climate Emergency meet?,"Monday, "
What is the location of the course 48618 Discourse and Praxis in the Climate Emergency?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48618 Discourse and Praxis in the Climate Emergency?,MM 307
How many units is the course 48618 Discourse and Praxis in the Climate Emergency?,VAR
Who are the instructors of the course 48618 Discourse and Praxis in the Climate Emergency?,Anklesaria
What is the course number of Structural Design 2: Materials and Analysis?,48638
What is the name of course number 48638?,Structural Design 2: Materials and Analysis
What time does the course 48638 Structural Design 2: Materials and Analysis begin?,02:00PM
What time does the course 48638 Structural Design 2: Materials and Analysis end?,03:20PM
What days does the course 48638 Structural Design 2: Materials and Analysis meet?,"Tuesday, Thursday"
What is the location of the course 48638 Structural Design 2: Materials and Analysis?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48638 Structural Design 2: Materials and Analysis?,WEH 4707
How many units is the course 48638 Structural Design 2: Materials and Analysis?,9.0
Who are the instructors of the course 48638 Structural Design 2: Materials and Analysis?,Lee
What is the course number of History of Modern Architecture?,48641
What is the name of course number 48641?,History of Modern Architecture
What time does the course 48641 History of Modern Architecture begin?,10:00AM
What time does the course 48641 History of Modern Architecture end?,10:50AM
What days does the course 48641 History of Modern Architecture meet?,"Monday, Wednesday, Friday"
What is the location of the course 48641 History of Modern Architecture?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48641 History of Modern Architecture?,MM A14
How many units is the course 48641 History of Modern Architecture?,VAR
Who are the instructors of the course 48641 History of Modern Architecture?,Gutschow
What is the course number of M.Arch Pre-Thesis?,48644
What is the name of course number 48644?,M.Arch Pre-Thesis
What time does the course 48644 M.Arch Pre-Thesis begin?,09:00AM
What time does the course 48644 M.Arch Pre-Thesis end?,09:50AM
What days does the course 48644 M.Arch Pre-Thesis meet?,Friday
What is the location of the course 48644 M.Arch Pre-Thesis?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48644 M.Arch Pre-Thesis?,MM 321
How many units is the course 48644 M.Arch Pre-Thesis?,3.0
Who are the instructors of the course 48644 M.Arch Pre-Thesis?,Goral
What is the course number of Ethics and Decision Making in Architecture?,48648
What is the name of course number 48648?,Ethics and Decision Making in Architecture
