Question,Answer
What is the course number of Modern Biology?,03121
What is the name of course number 03121?,Modern Biology
What time does the course 03121 Modern Biology begin?,09:30AM
What time does the course 03121 Modern Biology end?,10:50AM
What days does the course 03121 Modern Biology meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 03121 Modern Biology?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 03121 Modern Biology?,HH B103
How many units is the course 03121 Modern Biology?,9.0
Who are the instructors of the course 03121 Modern Biology?,Wong-Noonan
What is the course number of Basic Science to Modern Medicine?,03132
What is the name of course number 03132?,Basic Science to Modern Medicine
What time does the course 03132 Basic Science to Modern Medicine begin?,02:00PM
What time does the course 03132 Basic Science to Modern Medicine end?,03:20PM
What days does the course 03132 Basic Science to Modern Medicine meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 03132 Basic Science to Modern Medicine?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 03132 Basic Science to Modern Medicine?,WEH 5202
How many units is the course 03132 Basic Science to Modern Medicine?,9.0
Who are the instructors of the course 03132 Basic Science to Modern Medicine?,Mccartney
What is the course number of Introduction to Modern Chemistry I?,09105
What is the name of course number 09105?,Introduction to Modern Chemistry I
What time does the course 09105 Introduction to Modern Chemistry I begin?,11:00AM
What time does the course 09105 Introduction to Modern Chemistry I end?,12:20PM
What days does the course 09105 Introduction to Modern Chemistry I meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 09105 Introduction to Modern Chemistry I?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 09105 Introduction to Modern Chemistry I?,DH 2302
How many units is the course 09105 Introduction to Modern Chemistry I?,10.0
Who are the instructors of the course 09105 Introduction to Modern Chemistry I?,Sherwood
What is the course number of Principles of Imperative Computation?,15122
What is the name of course number 15122?,Principles of Imperative Computation
What time does the course 15122 Principles of Imperative Computation begin?,09:30AM
What time does the course 15122 Principles of Imperative Computation end?,10:50AM
What days does the course 15122 Principles of Imperative Computation meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 15122 Principles of Imperative Computation?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 15122 Principles of Imperative Computation?,TEP 1403
How many units is the course 15122 Principles of Imperative Computation?,12.0
Who are the instructors of the course 15122 Principles of Imperative Computation?,Kohlbrenner
What is the course number of Principles of Microeconomics?,73102
What is the name of course number 73102?,Principles of Microeconomics
What time does the course 73102 Principles of Microeconomics begin?,11:00AM
What time does the course 73102 Principles of Microeconomics end?,12:20PM
What days does the course 73102 Principles of Microeconomics meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 73102 Principles of Microeconomics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 73102 Principles of Microeconomics?,TEP 2612
How many units is the course 73102 Principles of Microeconomics?,9.0
Who are the instructors of the course 73102 Principles of Microeconomics?,Hong
What is the course number of Books You Should Have Read By Now?,76221
What is the name of course number 76221?,Books You Should Have Read By Now
What time does the course 76221 Books You Should Have Read By Now begin?,09:30AM
What time does the course 76221 Books You Should Have Read By Now end?,10:50AM
What days does the course 76221 Books You Should Have Read By Now meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 76221 Books You Should Have Read By Now?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76221 Books You Should Have Read By Now?,PH 126A
How many units is the course 76221 Books You Should Have Read By Now?,9.0
Who are the instructors of the course 76221 Books You Should Have Read By Now?,Jo
What is the course number of Writing for the Professions?,76270
What is the name of course number 76270?,Writing for the Professions
What time does the course 76270 Writing for the Professions begin?,12:30PM
What time does the course 76270 Writing for the Professions end?,01:50PM
What days does the course 76270 Writing for the Professions meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 76270 Writing for the Professions?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76270 Writing for the Professions?,CMU REMOTE
How many units is the course 76270 Writing for the Professions?,9.0
Who are the instructors of the course 76270 Writing for the Professions?,George
"What is the course number of Medieval Science, Magic, and Wonders of Nature?",79150
What is the name of course number 79150?,"Medieval Science, Magic, and Wonders of Nature"
"What time does the course 79150 Medieval Science, Magic, and Wonders of Nature begin?",09:30AM
"What time does the course 79150 Medieval Science, Magic, and Wonders of Nature end?",10:50AM
"What days does the course 79150 Medieval Science, Magic, and Wonders of Nature meet?","Monday, Tuesday, Wednesday, ThursdayFriday"
"What is the location of the course 79150 Medieval Science, Magic, and Wonders of Nature?","Pittsburgh, Pennsylvania"
"What is the building and room number of the course 79150 Medieval Science, Magic, and Wonders of Nature?",CMU REMOTE
"How many units is the course 79150 Medieval Science, Magic, and Wonders of Nature?",9.0
"Who are the instructors of the course 79150 Medieval Science, Magic, and Wonders of Nature?",Garnhart-bushakra
"What is the course number of Race, Caste, Class, and Difference in the United States and India?",79172
What is the name of course number 79172?,"Race, Caste, Class, and Difference in the United States and India"
"What time does the course 79172 Race, Caste, Class, and Difference in the United States and India begin?",03:30PM
"What time does the course 79172 Race, Caste, Class, and Difference in the United States and India end?",04:50PM
"What days does the course 79172 Race, Caste, Class, and Difference in the United States and India meet?","Monday, Tuesday, Wednesday, ThursdayFriday"
"What is the location of the course 79172 Race, Caste, Class, and Difference in the United States and India?","Pittsburgh, Pennsylvania"
"What is the building and room number of the course 79172 Race, Caste, Class, and Difference in the United States and India?",CMU REMOTE
"How many units is the course 79172 Race, Caste, Class, and Difference in the United States and India?",9.0
"Who are the instructors of the course 79172 Race, Caste, Class, and Difference in the United States and India?",Hingorani
What is the course number of Concepts of Mathematics?,21127
What is the name of course number 21127?,Concepts of Mathematics
What time does the course 21127 Concepts of Mathematics begin?,11:00AM
What time does the course 21127 Concepts of Mathematics end?,12:20PM
What days does the course 21127 Concepts of Mathematics meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 21127 Concepts of Mathematics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 21127 Concepts of Mathematics?,DH 1212
How many units is the course 21127 Concepts of Mathematics?,12.0
Who are the instructors of the course 21127 Concepts of Mathematics?,Resende
"What is the course number of AI for Humanities: The Multi-dimensions of World Languages, Arts, and Cultures?",82183
What is the name of course number 82183?,"AI for Humanities: The Multi-dimensions of World Languages, Arts, and Cultures"
